8	sein	sein	V	VAINF	_	9	aux	_	_
9	könnt	können	V	VMFIN	2|Pl|Pres|Ind	0	root	_	_
10	'	'	$	$(	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_

1	Christine	Christine	N	NE	_	0	root	20	20
2	Warum	Warum	N	NE	_	1	app	20	20
3	sagst	sagen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
4	du	du	P	PPER	2|Sg|_|Nom	3	subj	524	524
5	mir	ich	P	PPER	1|Sg|_|Dat	3	objd	528	528
6	das	die	P	PDS	Neut|_|Sg	3	obja	_	_
7	,	,	$	$,	_	0	root	_	_
8	Vater	Vater	N	NN	Masc|_|Sg	3	vok	527	527
9	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	528	528
3	weiß	wissen	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
4	ja	ja	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	was	was	P	PRELS	Neut|_|Sg	8	obja	529	529
7	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	528	528
8	getan	tun	V	VVPP	_	9	aux	_	_
9	hab	hab	V	VAFIN	1|Sg|_|_	3	objc	_	_
10	'	'	$	$(	_	0	root	_	_
11	-	-	$	$(	_	0	root	_	_
12	und	und	K	KON	_	9	par	_	_
13	ich	ich	P	PPER	1|Sg|_|Nom	14	subj	528	528
14	verlang	verlang	V	VVFIN	1|Sg|_|_	12	cj	_	_
15	'	'	$	$(	_	0	root	_	_
16	ja	ja	A	ADV	_	14	adv	_	_
17	auch	auch	A	ADV	_	14	adv	_	_
18	nichts	nichts	P	PIS	_	14	obja	_	_
19	-	-	$	$(	_	0	root	_	_
20	von	von	P	APPR	Dat	8	pp	_	_
21	dir	du	P	PPER	2|Sg|_|Dat	20	pn	524	524
22	und	und	K	KON	_	20	kon	_	_
23	von	von	P	APPR	Dat	22	cj	_	_
24	keinem	keine	A	PIAT	Masc|Dat|Sg	25	det	_	_
25	Menschen	Mensch	N	NN	Masc|Dat|Sg	23	pn	_	_
26	auf	auf	P	APPR	Dat	23	kon	_	_
27	der	die	A	ART	Def|Fem|Dat|Sg	28	det	273	273
28	Welt	Welt	N	NN	Fem|Dat|Sg	26	pn	273	273
29	,	,	$	$,	_	0	root	_	_
30	wenn	wenn	K	KOUS	_	36	konj	_	_
31	'	'	$	$(	_	0	root	_	_
32	s	s	P	PPER	_|Sg|_|Nom	36	subj	529	529
33	ein	eine	A	ART	Indef|Masc|Nom|Sg	34	det	_	_
34	Irrtum	Irrtum	N	NN	Masc|Nom|Sg	35	pred	_	_
35	gewesen	sein	V	VAPP	_	36	aux	_	_
36	ist	sein	V	VAFIN	3|Sg|Pres|Ind	9	neb	_	_
37	...	...	$	$.	_	0	root	_	_
38	Ich	ich	P	PPER	1|Sg|_|Nom	39	subj	528	528
39	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
40	'	'	$	$(	_	0	root	_	_
41	dir	du	P	PPER	2|Sg|_|Dat	43	objd	524	524
42	ja	ja	A	ADV	_	43	adv	_	_
43	gesagt	sagen	V	VVPP	_	39	aux	_	_
44	-	-	$	$(	_	0	root	_	_
45	jag	jagen	V	VVIMP	Sg	0	root	_	_
46	mich	ich	P	PPER	1|Sg|_|Acc	45	obja	528	528
47	davon	davon	P	PROAV	_	45	pp	_	_
48	,	,	$	$,	_	0	root	_	_
49	aber	aber	K	KON	_	0	root	_	_
50	...	...	$	$.	_	0	root	_	_

1	Weiring	Weiring	N	NN	Masc|_|Sg	0	root	336	336
2	sie	sie	P	PPER	3|_|_|_	3	obja	529	529
3	unterbrechend	unterbrechen	A	ADJD	_|<PPRES	0	root	_	_
4	Wie	Wie	P	PWAV	_	5	adv	_	_
5	kannst	können	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
6	denn	denn	A	ADV	_	8	adv	_	_
7	so	so	A	ADV	_	8	adv	_	_
8	reden	reden	V	VVINF	_	5	aux	_	_
9	...	...	$	$.	_	0	root	_	_

1	Wenn	wenn	K	KOUS	_	7	konj	_	_
2	'	'	$	$(	_	0	root	_	_
3	s	s	P	PPER	_|Sg|_|Nom	7	subj	2	2
4	auch	auch	A	ADV	_	7	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	6	det	_	_
6	Irrtum	Irrtum	N	NN	Masc|Nom|Sg	7	pred	_	_
7	war	sein	V	VAFIN	_|Sg|Past|Ind	9	neb	_	_
8	,	,	$	$,	_	0	root	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
10	denn	denn	A	ADV	_	9	adv	_	_
11	da	da	A	ADV	_	9	adv	_	_
12	gleich	gleich	A	ADJD	Pos|	9	adv	_	_
13	eine	eine	A	ART	Indef|Fem|Nom|Sg	14	det	_	_
14	Ursach	Ursach	N	NN	Fem|Nom|Sg	9	subj	_	_
15	'	'	$	$(	_	0	root	_	_
16	zum	zu	P	APPRART	_|Dat	0	root	_	_
17	verzweifelt	verzweifelt	A	ADJD	Pos|	18	pred	_	_
18	sein	sein	V	VAINF	_	0	root	_	_
19	für	für	P	APPR	Acc	18	pp	_	_
20	so	so	A	ADV	_	23	adv	_	_
21	ein	eine	A	ART	Indef|Neut|Acc|Sg	23	det	_	_
22	junges	jung	A	ADJA	Pos|Neut|Acc|Sg|St|	23	attr	_	_
23	Geschöpf	Geschöpf	N	NN	Neut|Acc|Sg	19	pn	_	_
24	,	,	$	$,	_	0	root	_	_
25	wie	wie	P	PWAV	_	28	adv	_	_
26	du	du	P	PPER	2|Sg|_|Nom	28	subj	524	524
27	eins	eins	P	PIS	_|Nom|_	28	pred	_	_
28	bist	sein	V	VAFIN	2|Sg|Pres|Ind	23	objc	_	_
29	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Denk	Denk	N	NE	_	0	root	401	401
3	doch	doch	A	ADV	_	2	adv	401	401
4	nur	nur	A	ADV	_	2	adv	401	401
5	,	,	$	$,	_	0	root	401	401
6	wie	wie	K	KOKOM	_	4	par	401	401
7	schön	schön	A	ADJD	Pos|	6	cj	401	401
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	10	adv	_	_
10	wunderschön	wunderschön	A	ADJD	Pos|	13	adv	_	_
11	das	die	A	ART	Def|Neut|Nom|Sg	12	det	530	530
12	Leben	Leben	N	NN	Neut|Nom|Sg	13	subj	530	530
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
14	.	.	$	$.	_	0	root	_	_

1	Denk	Denk	N	NE	_	0	root	401	401
2	nur	nur	A	ADV	_	1	adv	401	401
3	,	,	$	$,	_	0	root	_	_
4	an	an	P	APPR	_	10	pp	_	_
5	wie	wie	P	PWAV	_	4	pn	_	_
6	vielen	viele	A	PIDAT	Neut|Dat|_	7	det	_	_
7	Dingen	Ding	N	NN	Neut|Dat|_	10	objd	_	_
8	man	man	P	PIS	_|Nom|Sg	11	subj	_	_
9	sich	sie	P	PRF	3|_|_	10	obja	_	_
10	freuen	freuen	V	VVINF	_	11	aux	_	_
11	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
12	,	,	$	$,	_	0	root	_	_
13	wie	wie	P	PWAV	_	0	root	_	_
