34	Frau	Frau	N	NN	Fem|_|Sg	31	obja	262	262
35	,	,	$	$,	_	0	root	_	_
36	mit	mit	P	APPR	Dat	39	pp	_	_
37	der	die	A	ART	Def|Fem|Dat|Sg	38	det	9	9
38	Fridolin	Fridolin	N	NN	Fem|Dat|Sg	36	pn	9	9
39	sprach	sprechen	V	VVFIN	_|Sg|Past|Ind	31	kon	_	_
40	,	,	$	$,	_	0	root	_	_
41	zu	zu	P	APPR	Dat	0	root	_	_
42	einem	eine	A	ART	Indef|Masc|Dat|Sg	43	det	428	428
43	Tanze	Tanz	N	NN	Masc|Dat|Sg	41	pn	428	428
44	auf	auf	P	PTKVZ	_	0	root	_	_
45	.	.	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	Fridolin	Fridolin	N	NN	_|Nom|_	2	pred	9	9
4	,	,	$	$,	_	0	root	_	_
5	als	als	K	KOKOM	_	6	konj	_	_
6	zögerte	zögern	V	VVFIN	3|Sg|Past|_	2	neb	_	_
7	sie	sie	P	PPER	3|Sg|Fem|Nom	6	subj	262	262
8	einen	eine	A	ART	Indef|Masc|Acc|Sg	9	det	_	_
9	Augenblick	Augenblick	N	NN	Masc|Acc|Sg	6	obja	_	_
10	.	.	$	$.	_	0	root	_	_

1	Doch	doch	K	KON	_	0	root	_	_
2	schon	schon	A	ADV	_	3	adv	_	_
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	1	cj	_	_
4	der	die	A	ART	Def|_|_|_	5	part	_	_
5	andere	andere	P	PIS	Masc|Nom|Sg	3	subj	_	_
6	sie	sie	P	PPER	3|_|_|Nom	7	subj	262	262
7	umfaßt	umfaßt	V	VVFIN	3|_|_|_	0	root	_	_
8	und	und	K	KON	_	7	kon	_	_
9	wirbelte	wirbeln	V	VVFIN	_|Sg|Past|_	8	cj	_	_
10	mit	mit	P	APPR	Dat	9	pp	_	_
11	ihr	ihr	P	PPER	3|Sg|Fem|Dat	10	pn	262	262
12	davon	davon	P	PROAV	_	9	pp	_	_
13	zu	zu	P	APPR	Dat	9	pp	_	_
14	den	die	A	ART	Def|Neut|Dat|Pl	16	det	_	_
15	andern	andern	A	ADJA	_|Neut|Dat|Pl|_	16	attr	_	_
16	Paaren	Paar	N	NN	Neut|Dat|Pl	13	pn	_	_
17	im	in	P	APPRART	Dat	9	pp	_	_
18	erleuchteten	erleuchtet	A	ADJA	Pos|Masc|Dat|Sg|Wk|	19	attr	_	_
19	Nebensaal	Nebensaal	N	NN	Masc|Dat|Sg	17	pn	_	_
20	.	.	$	$.	_	0	root	_	_

1	Fridolin	Fridolin	N	NE	_|Nom|Sg	2	subj	9	9
2	fand	finden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	allein	allein	A	ADV	_	3	adv	_	_
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	diese	diese	A	PDAT	Fem|Nom|Sg	9	det	_	_
8	plötzliche	plötzlich	A	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	_	_
9	Verlassenheit	Verlassenheit	N	NN	Fem|Nom|Sg	10	subj	_	_
10	überfiel	überfallen	V	VVFIN	3|Sg|Past|Ind	6	cj	_	_
11	ihn	er	P	PPER	3|Sg|Masc|Acc	10	obja	9	9
12	wie	wie	K	KOKOM	_	10	kom	_	_
13	Frost	Frost	N	NN	Masc|_|Sg	12	cj	_	_
14	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	3	3
