2	Adjunkt	Adjunkt	N	NN	Masc|Nom|Sg	0	root	76	76
3	.	.	$	$.	_	0	root	_	_

1	Weder	weder	K	KON	_	2	kon	_	_
2	Frau	Frau	N	NN	Masc|Nom|Pl	6	subj	_	_
3	Richter	Richter	N	NN	Masc|Nom|_	2	app	_	_
4	noch	noch	K	KON	_	2	kon	_	_
5	Marie	Marie	N	NE	Masc|Nom|Pl	4	cj	8	8
6	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
7	daheim	daheim	A	ADV	_	6	adv	_	_
8	,	,	$	$,	_	0	root	_	_
9	wie	wie	P	PWAV	_	11	adv	_	_
10	Sie	sie	P	PPER	3|Pl|_|Nom	11	subj	_	_
11	sehn	sehn	V	VVFIN	3|Pl|_|_	6	objc	_	_
12	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	651	651
2	dachte	denken	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	_	_
4	'	'	$	$(	_	0	root	_	_
5	s.	s.	N	NE	_	0	root	286	286

1	Frau	Frau	N	NN	Masc|Nom|Sg	3	subj	_	_
2	Richter	Richter	N	NN	Masc|Nom|_	1	app	_	_
3	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	wohl	wohl	A	ADV	_	8	adv	_	_
5	in	in	P	APPR	Dat	8	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	654	654
7	Kirche	Kirche	N	NN	Fem|Dat|Sg	5	pn	654	654
8	sein	sein	V	VAINF	_	3	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	103	103
2	Arzt	Arzt	N	NN	Masc|Nom|Sg	0	root	103	103
3	.	.	$	$.	_	0	root	_	_

1	Sie	sie	P	PPER	3|Pl|_|Nom	2	subj	_	_
2	glauben	glauben	V	VVFIN	3|Pl|Pres|_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

