14	die	die	A	ART	Def|Fem|Nom|Sg	15	det	8	8
15	Gräfin	Gräfin	N	NN	Fem|Nom|Sg	13	subj	8	8
16	Clarissa	Clarissa	N	NE	Fem|Nom|Sg	15	app	8	8
17	dem	die	A	ART	Def|Neut|Dat|Sg	19	det	2	2
18	alten	alt	A	ADJA	Pos|Neut|Dat|Sg|Wk|	19	attr	2	2
19	Münchhausen	Münchhausen	N	NE	Neut|Dat|Sg	13	objd	2	2
20	ins	in	P	APPRART	Acc	13	pp	_	_
21	Ohr	Ohr	N	NN	Neut|Acc|Sg	20	pn	262	262
22	:	\:	$	$.	_	0	root	_	_
23	»	»	$	$(	_	0	root	_	_
24	Münch	Münch	N	NE	_	0	root	58	58
25	!	!	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	263	263
2	hast	haben	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	ja	ja	A	ADV	_	5	adv	_	_
4	ganz	ganz	A	ADV	_	5	adv	_	_
5	vergessen	veressen	V	VVPP	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	etwas	etwas	A	ADV	_	12	adv	_	_
8	vom	von	P	APPRART	Dat	12	pp	_	_
9	russisch-japanischen	russisch-japanisch	A	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	_
10	Kriege	Krieg	N	NN	Masc|Dat|Sg	8	pn	_	_
11	zu	zu	P	PTKZU	_	12	part	_	_
12	reden	reden	V	VVINF	_	5	obji	_	_
13	;	;	$	$.	_	0	root	_	_
14	das	die	P	PDS	Neut|_|Sg	19	obja	_	_
15	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
16	man	man	P	PIS	_|Nom|Sg	15	subj	_	_
17	Dir	du	P	PPER	2|Sg|_|Dat	19	objd	263	263
18	übelgenommen	übelgenommen	A	ADJD	Pos|	19	adv	_	_
19	haben	haben	V	VAINF	_	15	aux	_	_
20	.	.	$	$.	_	0	root	_	_
21	«	«	$	$(	_	0	root	_	_
22	»	»	$	$(	_	0	root	_	_
23	Das	die	P	PDS	Neut|_|Sg	24	obja	_	_
24	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
