29	Sterne	Stern	N	NN	Masc|Dat|Sg	26	pn	_	_
30	zu	zu	P	PTKZU	_	31	part	_	_
31	leben	leben	V	VVINF	_	24	subjc	_	_
32	.	.	$	$.	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	nicht	nicht	P	PTKNEG	_	3	adv	_	_
5	so	so	A	ADV	_	3	adv	_	_
6	ohne	ohne	P	APPR	Acc	3	pp	_	_
7	weiteres	weit	A	ADJA	Comp|Neut|Acc|Sg|St|	6	pn	_	_
8	.	.	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|_|Sg	2	obja	_	_
2	wußte	wußte	V	VVFIN	1|Sg|_|_	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	498	498
4	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	1	cj	498	498
3	klagte	klagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
4	mein	meine	A	PPOSAT	Neut|Nom|Sg	5	det	498	498
5	Leid	Leid	N	NN	Neut|Nom|Sg	3	subj	_	_
6	einem	eine	A	ART	Indef|Masc|Dat|Sg	8	det	_	_
7	alten	alt	A	ADJA	Pos|Masc|Dat|Sg|Wk|	8	attr	_	_
8	Freunde	Freund	N	NN	Masc|Dat|Sg	3	objd	_	_
9	.	.	$	$.	_	0	root	_	_

1	Mikosai	Mikosai	N	NE	_|Nom|Sg	2	subj	500	500
2	hieß	heißen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	dieser	diese	A	PDAT	Masc|Nom|Sg	4	det	499	499
4	Freund	Freund	N	NN	Masc|Nom|Sg	2	pred	499	499
5	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	499	499
2	lebte	leben	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	auf	auf	P	APPR	_	2	pp	_	_
4	Neu-Guinea	Neu-Guinea	N	NE	Neut|_|Sg	3	pn	526	526
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	2	kon	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	8	subj	498	498
8	war	sein	V	VAFIN	1|Sg|Past|Ind	6	cj	_	_
9	bei	bei	P	APPR	Dat	8	pp	_	_
10	ihm	er	P	PPER	3|Sg|_|Dat	9	pn	499	499
11	zu	zu	P	APPR	Dat	8	pp	_	_
12	Besuch	Besuch	N	NN	Masc|Dat|Sg	11	pn	_	_
13	.	.	$	$.	_	0	root	_	_

1	Mikosai	Mikosai	N	NE	_|Nom|Sg	2	subj	500	500
2	lachte	lachen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	als	als	K	KOUS	_	9	konj	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	9	subj	500	500
6	von	von	P	APPR	_	9	pp	_	_
7	meiner	meine	A	PPOSAT	Fem|_|Sg	8	det	498	498
8	Weltmüdigkeit	Weltmüdigkeit	N	NN	Fem|_|Sg	6	pn	505	505
9	hörte	hören	V	VVFIN	3|Sg|Past|_	2	neb	_	_
10	.	.	$	$.	_	0	root	_	_

1	›	›	F	FM	_	0	root	_	_
2	Wie	Wie	F	FM	_	1	app	_	_
3	‹	‹	F	FM	_	2	app	_	_
4	,	,	$	$,	_	0	root	_	_
5	sagte	sagen	V	VVFIN	3|Sg|Past|_	3	par	_	_
6	er	er	P	PPER	3|Sg|Masc|Nom	5	subj	11	11
7	,	,	$	$,	_	0	root	_	_
8	›	›	F	FM	_	3	app	_	_
9	Du	du	P	PPER	2|Sg|_|Nom	10	subj	501	501
10	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
11	auf	auf	P	APPR	Dat	15	pp	_	_
12	einem	eine	A	ART	Indef|Masc|Dat|Sg	14	det	_	_
13	andern	andern	A	ADJA	_|Masc|Dat|Sg|_	14	attr	_	_
14	Stern	Stern	N	NN	Masc|Dat|Sg	11	pn	_	_
15	leben	leben	V	VVINF	_	10	aux	_	_
16	?	?	$	$.	_	0	root	_	_

1	Mehr	mehr	P	PIS	_	2	obja	_	_
2	willst	wollen	V	VMFIN	2|Sg|Pres|Ind	0	root	_	_
3	Du	du	P	PPER	2|Sg|_|Nom	2	subj	501	501
4	nicht	nicht	P	PTKNEG	_	2	adv	_	_
5	?	?	$	$.	_	0	root	_	_

1	Du	du	P	PPER	2|Sg|_|Nom	2	subj	501	501
2	bist	sein	V	VAFIN	2|Sg|Pres|Ind	0	root	_	_
3	bescheiden	bescheiden	A	ADJD	Pos|	2	pred	_	_
4	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	502	502
2	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
3	mal	mal	A	ADV	_	2	adv	_	_
4	mehr	mehr	A	ADV	_	2	adv	_	_
5	.	.	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	502	502
2	wollte	wollen	V	VMFIN	1|Sg|Past|_	0	root	_	_
3	mal	mal	A	ADV	_	8	adv	_	_
4	selber	selber	A	ADV	_	8	adv	_	_
5	ein	eine	A	ART	Indef|Masc|Nom|Sg	7	det	_	_
6	kleiner	klein	A	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	_
7	Stern	Stern	N	NN	Masc|Nom|Sg	8	pred	_	_
8	sein	sein	V	VAINF	_	2	aux	_	_
9	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	502	502
3	kann	können	V	VMFIN	1|Sg|Pres|Ind	1	cj	_	_
4	Dir	du	P	PPER	2|Sg|_|Dat	5	objd	501	501
5	verraten	verraten	V	VVINF	_	3	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	12	konj	_	_
8	es	es	P	PPER	3|Sg|Neut|_	11	expl	_	_
9	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	502	502
