15	Galerie	Galerie	N	NN	Fem|Dat|Sg	13	pn	454	454
16	.	.	$	$.	_	0	root	_	_

1	Leutner	Leutner	N	NE	_	0	root	30	30
2	:	\:	$	$.	_	0	root	_	_
3	Das	die	P	PDS	Neut|Nom|Sg	4	subj	_	_
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
5	ja	ja	A	ADV	_	4	adv	_	_
6	ein	eine	A	ART	Indef|Masc|Nom|Sg	8	det	_	_
7	höllischer	höllisch	A	ADJA	Pos|Masc|Nom|Sg|St|	8	attr	_	_
8	Spektakul	Spektakul	N	NN	Masc|Nom|Sg	4	pred	_	_
9	,	,	$	$,	_	0	root	_	_
10	als	als	K	KOKOM	_	0	root	_	_
11	wenn	wenn	K	KOUS	_	16	konj	_	_
12	das	die	A	ART	Def|Neut|Nom|Sg	14	det	_	_
13	ganze	ganz	A	ADJA	Pos|Neut|Nom|Sg|Wk|	14	attr	_	_
14	Haus	Haus	N	NN	Neut|Nom|Sg	16	subj	_	_
15	einbrechen	einbrechen	V	VVINF	_	16	aux	_	_
16	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	_
17	.	.	$	$.	_	0	root	_	_

1	Dichter	Dichter	N	NN	_|_|_	0	root	_	_
2	hinter	hinter	P	APPR	Dat	1	pp	_	_
3	der	die	A	ART	Def|Fem|Dat|Sg	4	det	295	295
4	Szene	Szene	N	NN	Fem|Dat|Sg	2	pn	295	295
5	:	\:	$	$.	_	0	root	_	_
6	Ei	Ei	N	NN	Neut|_|Sg	0	root	19	19
7	was	was	P	PIS	_	0	root	_	_
8	!	!	$	$.	_	0	root	_	_

1	laßt	laßt	V	VVFIN	_	0	root	_	_
2	mich	ich	P	PPER	1|Sg|_|Acc	1	obja	726	726
3	zufrieden	zufrieden	A	ADJD	Pos|	1	adv	_	_
4	-	-	$	$(	_	0	root	_	_
5	wohin	wohin	P	PWAV	_	6	pp	_	_
6	soll	sollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	_
7	ich	ich	P	PPER	1|Sg|_|Nom	6	subj	726	726
8	mich	ich	P	PRF	1|Sg|Acc	9	obja	_	_
9	retten	retten	V	VVINF	_	6	aux	_	_
10	?	?	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Er	er	P	PPER	3|Sg|Masc|Nom	3	subj	1	1
3	stürzt	stürzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
4	außer	außer	P	APPR	Dat	3	pp	_	_
