9	Schlaraffenland	Schlaraffenland	N	NN	Neut|Acc|Sg	8	pn	225	225
10	!	!	$	$.	_	0	root	_	_

1	Schnell	schnell	A	ADJD	Pos|	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	schnell	schnell	A	ADJD	Pos|	0	root	_	_
2	!	!	$	$.	_	0	root	_	_

1	schnell	schnell	A	ADJD	Pos|	0	root	_	_
2	!	!	$	$.	_	0	root	_	_
3	«	«	$	$(	_	0	root	_	_

1	Also	also	A	ADV	_	0	root	_	_
2	:	\:	$	$.	_	0	root	_	_
3	sie	sie	P	PPER	3|Pl|_|Nom	4	subj	7	7
4	gingen	gehen	V	VVFIN	3|Pl|Past|_	0	root	_	_
5	.	.	$	$.	_	0	root	_	_

1	Rechts	rechts	P	APPR	_	0	root	_	_
2	der	die	A	ART	Def|Masc|Nom|Sg	3	det	185	185
3	Fuchs	Fuchs	N	NE	Masc|Nom|Sg	1	pn	185	185
4	,	,	$	$,	_	0	root	185	185
5	links	links	A	ADV	_	7	adv	185	185
6	die	die	A	ART	Def|Fem|Nom|Sg	7	det	185	185
7	Katze	Katze	N	NN	Fem|Nom|Sg	3	app	185	185
8	,	,	$	$,	_	0	root	_	_
9	in	in	P	APPR	Dat	0	root	_	_
10	der	die	P	PRELS	Fem|Dat|Sg	9	pn	_	_
11	Mitte	Mitte	N	NN	Fem|_|Sg	0	root	124	124
12	Zäpfel	Zäpfel	N	NE	Masc|_|Sg	11	app	124	124
13	Kern	Kern	N	NN	Masc|_|Sg	12	app	124	124
14	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|Nom|Sg	2	det	751	751
2	Gegend	Gegend	N	NN	Fem|Nom|Sg	3	subj	751	751
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
4	wüst	wüst	A	ADJD	Pos|	3	pred	_	_
5	und	und	K	KON	_	4	kon	_	_
6	leer	leer	A	ADJD	Pos|	5	cj	_	_
7	;	;	$	$.	_	0	root	_	_
8	kein	keine	A	PIAT	Neut|_|Sg	9	det	_	_
9	Haus	Haus	N	NN	Neut|_|Sg	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	keine	keine	A	PIAT	Fem|_|Sg	12	det	_	_
12	Hütte	Hütte	N	NN	Fem|_|Sg	9	app	_	_
13	-	-	$	$(	_	0	root	_	_
14	nichts	nichts	P	PIS	_	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Ich	ich	P	PPER	1|Sg|_|Nom	3	subj	473	473
3	finde	finden	V	VVFIN	1|Sg|Pres|_	0	root	_	_
4	die	die	A	ART	Def|Fem|_|Sg	5	det	784	784
5	Landschaft	Landschaft	N	NN	Fem|_|Sg	3	obja	784	784
6	nicht	nicht	P	PTKNEG	_	3	adv	_	_
7	sehr	sehr	A	ADV	_	8	adv	_	_
8	anmutig	anmutig	A	ADJD	Pos|	3	adv	_	_
9	«	«	$	$(	_	0	root	_	_
10	,	,	$	$,	_	0	root	_	_
11	bemerkte	bemerken	V	VVFIN	_|Sg|Past|_	3	kon	_	_
12	Zäpfel	Zäpfel	N	NE	_	11	obja	97	97
13	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Um	um	P	APPR	_	5	pp	_	_
3	so	so	A	ADV	_	4	adv	_	_
4	schöner	schön	A	ADJD	Comp|	2	pn	_	_
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
6	'	'	$	$(	_	0	root	_	_
7	s	s	P	PPER	_|Sg|_|Nom	5	subj	4	4
8	im	in	P	APPRART	Dat	5	pp	_	_
9	Schlaraffenland	Schlaraffenland	N	NN	Neut|Dat|Sg	8	pn	225	225
10	«	«	$	$(	_	0	root	_	_
11	,	,	$	$,	_	0	root	_	_
12	tröstete	trösten	V	VVFIN	3|Sg|Past|_	5	s	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	185	185
14	Fuchs	Fuchs	N	NE	Masc|Nom|Sg	12	subj	185	185
15	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wo	Wo	P	PWAV	_	0	root	_	_
3	die	die	A	ART	Def|Masc|_|Pl	5	det	_	_
4	schönen	schön	A	ADJA	Pos|Masc|_|Pl|Wk|	5	attr	_	_
5	Zwanzigmarknußbäume	Zwanzigmarknußbaum	N	NN	Masc|_|Pl	0	root	_	_
6	gedeihen	gedeihen	V	VVINF	_	0	root	_	_
7	«	«	$	$(	_	0	root	_	_
8	,	,	$	$,	_	0	root	_	_
9	miaute	miauen	V	VVFIN	3|Sg|Past|_	0	root	_	_
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	186	186
11	Katze	Katze	N	NN	Fem|Nom|Sg	9	subj	186	186
12	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Werden	werden	V	VAFIN	1|Pl|Pres|_	0	root	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	2	subj	234	234
4	noch	noch	A	ADV	_	8	adv	_	_
5	vor	vor	P	APPR	_	8	pp	_	_
6	Abend	Abend	N	NN	Masc|_|Sg	5	pn	232	232
7	dort	dort	A	ADV	_	5	adv	_	_
8	sein	sein	V	VAINF	_	2	aux	_	_
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_
11	fragte	fragen	V	VVFIN	3|Sg|Past|_	0	root	_	_
12	das	die	A	ART	Def|Neut|Nom|Sg	13	det	233	233
13	Kasperle	Kasperle	N	NN	Neut|Nom|Sg	11	subj	233	233
14	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	unmöglich	unmöglich	A	ADJD	Pos|	3	pred	_	_
5	«	«	$	$(	_	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	antwortete	antworten	V	VVFIN	3|Sg|Past|_	3	s	_	_
8	der	die	A	ART	Def|Masc|Nom|Sg	10	det	473	473
9	rote	rot	A	ADJA	Pos|Masc|Nom|Sg|Wk|	10	attr	473	473
10	Baron	Baron	N	NN	Masc|Nom|Sg	7	subj	473	473
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	wir	wir	P	PPER	1|Pl|_|Nom	14	subj	234	234
14	müssen	müssen	V	VMFIN	1|Pl|Pres|_	0	root	_	_
15	vorher	vorher	A	ADV	_	16	adv	_	_
16	einkehren	einkehren	V	VVINF	_	14	aux	_	_
17	,	,	$	$,	_	0	root	_	_
18	uns	wir	P	PPER	1|Pl|_|Dat	21	objd	234	234
19	etwas	etwas	P	PIS	_	21	obja	_	_
20	zu	zu	P	PTKZU	_	21	part	_	_
21	erfrischen	erfrischen	V	VVINF	_	16	obji	_	_
22	.	.	$	$.	_	0	root	_	_
23	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Wir	wir	P	PPER	1|Pl|_|Nom	3	subj	234	234
