2	gnädig	gnädig	A	ADJD	Pos|	1	pred	_	_
3	,	,	$	$,	_	0	root	_	_
4	Prinz	Prinz	N	NN	Masc|_|Sg	1	vok	631	631
5	!	!	$	$.	_	0	root	_	_

1	Prinz	Prinz	N	NN	Masc|_|Sg	3	vok	631	631
2	,	,	$	$,	_	0	root	_	_
3	mäßige	mäßigen	V	VVFIN	_|Sg|Pres|_	0	root	_	_
4	deinen	deine	A	PPOSAT	Masc|_|Sg	5	det	_	_
5	Zorn	Zorn	N	NN	Masc|_|Sg	3	obja	_	_
6	!	!	$	$.	_	0	root	_	_

1	Denk	Denk	N	NE	_	0	root	_	_
2	an	an	P	APPR	Acc	1	pp	_	_
3	den	die	A	ART	Def|Masc|Acc|Sg	4	det	28	28
4	Kaiser	Kaiser	N	NN	Masc|Acc|Sg	2	pn	28	28
5	!	!	$	$.	_	0	root	_	_

1	An	an	P	APPR	Acc	0	root	_	_
2	den	die	A	ART	Def|Masc|Acc|Sg	3	det	28	28
3	Kaiser	Kaiser	N	NN	Masc|Acc|Sg	1	pn	28	28
4	!	!	$	$.	_	0	root	_	_

1	Der	die	A	ART	Def|Masc|Nom|Sg	2	det	612	612
2	Kronprinz	Kronprinz	N	NN	Masc|Nom|Sg	3	subj	612	612
3	dachte	denken	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	an	an	P	APPR	Acc	3	objp	_	_
5	den	die	A	ART	Def|Masc|Acc|Sg	6	det	28	28
6	Kaiser	Kaiser	N	NN	Masc|Acc|Sg	4	pn	28	28
7	,	,	$	$,	_	0	root	_	_
8	schrie	schreien	V	VVFIN	3|Sg|Past|_	3	s	_	_
9	zwar	zwar	A	ADV	_	8	adv	_	_
10	noch	noch	A	ADV	_	8	adv	_	_
11	ein	eine	A	ART	Indef|_|_|Sg	13	det	_	_
12	paar	paar	A	PIDAT	Fem|Nom|Sg	13	attr	_	_
13	Mal	Mal	N	NN	Fem|Nom|Sg	8	subj	_	_
14	Kuhmagd	Kuhmagd	N	NN	Fem|Nom|Sg	13	app	_	_
15	!	!	$	$.	_	0	root	_	_

1	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	0	root	_	_
2	aber	aber	A	ADV	_	1	adv	_	_
3	das	die	A	ART	Def|Neut|Nom|Sg	4	det	_	_
4	Prügeln	Prügel	N	NN	Neut|Nom|Sg	5	pred	_	_
5	sein	sein	V	VAINF	_	1	obji	_	_
6	.	.	$	$.	_	0	root	_	_

1	Prinzessin	Prinzessin	N	NN	Fem|_|Sg	14	vok	6	6
2	Pao	Pao	N	NE	Fem|_|Sg	1	app	6	6
3	,	,	$	$,	_	0	root	_	_
4	die	die	P	PRELS	Fem|Nom|Sg	10	subj	632	632
5	nun	nun	A	ADV	_	10	adv	_	_
6	wirklich	wirklich	A	ADJD	Pos|	10	pred	_	_
7	wie	wie	K	KOKOM	_	10	kom	_	_
8	ein	eine	A	ART	Indef|Masc|Nom|Sg	9	det	_	_
9	Purpurkelch	Purpurkelch	N	NN	Masc|Nom|Sg	7	cj	_	_
10	aussah	aussehen	V	VVFIN	3|Sg|Past|Ind	2	rel	_	_
11	,	,	$	$,	_	0	root	_	_
12	so	so	A	ADV	_	13	adv	_	_
13	rot	rot	A	ADJD	Pos|	14	pred	_	_
14	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	632	632
16	vor	vor	P	APPR	_	14	pp	_	_
17	Zorn	Zorn	N	NN	Masc|_|Sg	16	pn	_	_
18	,	,	$	$,	_	0	root	_	_
19	sprang	springen	V	VVFIN	_|Sg|Past|Ind	14	kon	_	_
20	auf	auf	P	PTKVZ	_	19	avz	_	_
21	,	,	$	$,	_	0	root	_	_
22	fuhr	fahren	V	VVFIN	_|Sg|Past|Ind	19	kon	_	_
23	dem	die	A	ART	Def|Masc|Dat|Sg	24	det	612	612
24	Kronprinzen	Kronprinz	N	NN	Masc|Dat|Sg	22	objd	612	612
25	mit	mit	P	APPR	Dat	22	pp	_	_
26	dem	die	A	ART	Def|Masc|Dat|Sg	27	det	633	633
27	Schminkpinsel	Schminkpinsel	N	NN	Masc|Dat|Sg	25	pn	633	633
28	ins	in	P	APPRART	Acc	22	pp	_	_
29	Gesicht	Gesicht	N	NN	Neut|Acc|Sg	28	pn	521	521
30	,	,	$	$,	_	0	root	_	_
31	daß	daß	K	KOUS	_	38	konj	_	_
32	nun	nun	A	ADV	_	38	adv	_	_
33	auch	auch	A	ADV	_	34	adv	_	_
34	er	er	P	PPER	3|Sg|Masc|Nom	38	subj	633	633
35	wie	wie	K	KOKOM	_	38	kom	_	_
36	ein	eine	A	ART	Indef|Masc|Nom|Sg	37	det	_	_
37	Purpurkelch	Purpurkelch	N	NN	Masc|Nom|Sg	35	cj	_	_
38	aussah	aussehen	V	VVFIN	3|Sg|Past|Ind	22	objc	_	_
39	,	,	$	$,	_	0	root	_	_
40	drehte	drehen	V	VVFIN	_|Sg|Past|_	38	kon	_	_
41	sich	sie	P	PRF	3|_|_	40	obja	_	_
42	um	um	P	PTKVZ	_	40	avz	_	_
43	und	und	K	KON	_	40	kon	_	_
44	schrie	schreien	V	VVFIN	_|Sg|Past|_	43	cj	_	_
45	:	\:	$	$.	_	0	root	_	_
46	Lümmel	Lümmel	N	NN	Masc|_|_	0	root	_	_
47	!	!	$	$.	_	0	root	_	_

1	Das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
3	dir	du	P	PPER	2|Sg|_|Dat	5	objd	_	_
4	was	was	P	PIS	_	5	obja	_	_
5	kosten	kosten	V	VVINF	_	2	aux	_	_
6	!	!	$	$.	_	0	root	_	_

1	-	-	$	$(	_	0	root	_	_
2	Kuhmagd	Kuhmagd	N	NN	Fem|_|Sg	0	root	626	626
3	!	!	$	$.	_	0	root	_	_
