16	er	er	P	PPER	3|Sg|Masc|Nom	23	subj	5	5
17	vergebens	vergebens	A	ADV	_	22	adv	_	_
18	den	die	A	ART	Def|Masc|Acc|Sg	20	det	_	_
19	einen	ein	A	ADJA	Pos|Masc|Acc|Sg|_|	20	attr	_	_
20	Ast	Ast	N	NN	Masc|Acc|Sg	22	obja	_	_
21	zu	zu	P	PTKZU	_	22	part	_	_
22	lüften	lüften	V	VVINF	_	23	obji	_	_
23	versuchte	versuchen	V	VVFIN	3|Sg|Past|_	12	neb	_	_
24	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Na	Na	I	ITJ	_	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	Eure	eure	A	PPOSAT	Neut|Nom|Pl	5	det	831	831
5	Pferde	Pferd	N	NN	Neut|Nom|Pl	6	subj	832	832
6	beißen	beißen	V	VVFIN	3|Pl|Pres|_	0	root	_	_
7	doch	doch	A	ADV	_	6	adv	_	_
8	nicht	nicht	P	PTKNEG	_	6	adv	_	_
9	?	?	$	$.	_	0	root	_	_
10	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Bewahre	Bewahre	N	NN	_	9	obja	_	_
3	-	-	$	$(	_	0	root	_	_
4	laßt	laßt	V	VVFIN	3|_|_|_	2	par	_	_
5	sie	sie	P	PPER	3|_|_|Nom	4	subj	832	832
6	nur	nur	A	ADV	_	4	adv	_	_
7	los	los	P	PTKVZ	_	4	avz	_	_
8	-	-	$	$(	_	0	root	_	_
9	he	he	V	VVFIN	_	0	root	_	_
10	da	da	A	ADV	_	9	adv	_	_
11	,	,	$	$,	_	0	root	_	_
12	Kamerad	Kamerad	N	NN	Masc|_|Sg	0	root	137	137
13	,	,	$	$,	_	0	root	_	_
14	Ihr	ihr	P	PPER	2|Pl|_|Nom	15	subj	833	833
15	drückt	drücken	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
16	sie	sie	P	PPER	3|_|_|_	15	obja	832	832
17	mir	ich	P	PPER	1|Sg|_|Dat	15	objd	834	834
18	ja	ja	A	ADV	_	15	adv	_	_
19	ganz	ganz	A	ADV	_	20	adv	_	_
20	in	in	P	APPR	Acc	15	pp	_	_
21	den	die	A	ART	Def|Masc|Acc|Sg	22	det	96	96
22	Busch	Busch	N	NN	Masc|Acc|Sg	20	pn	96	96
23	hinein	hinein	P	PTKVZ	_	15	avz	_	_
24	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Fem|_|Sg	2	det	_	_
2	Pest	Pest	N	NN	Fem|_|Sg	0	root	_	_
3	über	über	P	APPR	_	2	pp	_	_
4	Euch	Euch	N	NE	_|_|_	3	pn	309	309
5	,	,	$	$,	_	0	root	_	_
6	Ihr	ihr	P	PPER	2|Pl|_|Nom	7	subj	833	833
7	werdet	werden	V	VAFIN	2|Pl|Pres|_	0	root	_	_
8	mir	ich	P	PPER	1|Sg|_|Dat	11	objd	834	834
9	den	die	A	ART	Def|_|_|_	10	det	791	791
10	Karren	Karre	N	NN	_|_|_	11	obja	791	791
11	umwerfen	umwerfen	V	VVINF	_	7	aux	_	_
12	.	.	$	$.	_	0	root	_	_
13	«	«	$	$(	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	O	O	N	NN	Neut|Nom|Sg	3	subj	_	_
3	bewahre	bewahren	V	VVFIN	3|Sg|Pres|Subj	0	root	_	_
4	!	!	$	$.	_	0	root	_	_
5	«	«	$	$(	_	0	root	_	_
6	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
7	der	die	A	ART	Def|Masc|Nom|Sg	8	det	835	835
8	Bündelmann	Bündelmann	N	NN	Masc|Nom|Sg	6	subj	835	835
9	,	,	$	$,	_	0	root	835	835
10	der	die	P	PRELS	Masc|Nom|Sg	22	subj	835	835
11	das	die	A	ART	Def|Neut|_|Sg	12	det	_	_
12	Handpferd	Handpferd	N	NN	Neut|_|Sg	15	obja	_	_
13	beim	bei	P	APPRART	Dat	15	pp	_	_
14	Zügel	Zügel	N	NN	Masc|Dat|Sg	13	pn	1367	1367
15	genommen	nehmen	V	VVPP	_	22	aux	_	_
16	und	und	K	KON	_	15	kon	_	_
17	seitwärts	seitwärts	P	PROAV	_	21	pp	_	_
18	zwischen	zwischen	P	APPR	Acc	21	pp	_	_
19	die	die	A	ART	Def|Masc|Acc|Pl	20	det	836	836
20	Bäume	Baum	N	NN	Masc|Acc|Pl	18	pn	836	836
21	gedrückt	drücken	V	VVPP	_	16	cj	_	_
22	hatte	haben	V	VAFIN	3|Sg|Past|Ind	8	rel	_	_
23	,	,	$	$,	_	0	root	_	_
24	»	»	$	$(	_	0	root	_	_
25	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	6	s	_	_
26	gleich	gleich	A	ADJD	Pos|	27	attr	_	_
27	alles	alle	P	PIS	Neut|Nom|Sg	25	subj	_	_
28	in	in	P	APPR	_	25	pp	_	_
29	Ordnung	Ordnung	N	NN	Fem|_|Sg	28	pn	787	787
30	,	,	$	$,	_	0	root	_	_
31	Mate	Mate	N	NN	_|_|Sg	0	root	235	235
32	.	.	$	$.	_	0	root	_	_

1	Da	da	A	ADV	_	2	adv	_	_
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
3	auch	auch	A	ADV	_	2	adv	_	_
4	noch	noch	A	ADV	_	2	adv	_	_
5	ein	eine	A	ART	Indef|_|_|Sg	7	det	837	837
