7	schüchterne	schüchtern	A	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	_
8	Antwort	Antwort	N	NN	Fem|Nom|Sg	5	subj	_	_
9	des	die	A	ART	Def|Neut|Gen|Sg	10	det	1330	1330
10	Mädchens	Mädchen	N	NN	Neut|Gen|Sg	8	gmod	1330	1330
11	,	,	$	$,	_	0	root	1330	1330
12	das	die	P	PRELS	Neut|Nom|Sg	20	subj	1330	1330
13	sich	sie	P	PRF	3|_|Dat	19	objd	_	_
14	die	die	A	ART	Def|Fem|_|Sg	15	det	_	_
15	Bewegung	Bewegung	N	NN	Fem|_|Sg	19	obja	_	_
16	des	die	A	ART	Def|Masc|Gen|Sg	17	det	94	94
17	Mannes	Mann	N	NN	Masc|Gen|Sg	15	gmod	94	94
18	nicht	nicht	P	PTKNEG	_	19	adv	_	_
19	erklären	erklären	V	VVINF	_	20	aux	_	_
20	konnte	können	V	VMFIN	3|Sg|Past|Ind	10	rel	_	_
21	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Das	die	P	PDS	Neut|Nom|Sg	3	subj	_	_
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
4	der	die	A	ART	Def|Masc|Nom|Sg	5	det	306	306
5	Ohio	Ohio	N	NE	Masc|Nom|Sg	3	pred	306	306
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	rief	rufen	V	VVFIN	_|Sg|Past|Ind	3	kon	_	_
9	da	da	A	ADV	_	8	adv	_	_
10	Jack	Jack	N	NE	_	8	obja	74	74
11	,	,	$	$,	_	0	root	_	_
12	»	»	$	$(	_	0	root	_	_
13	und	und	K	KON	_	0	root	_	_
14	jenes	jene	A	PDAT	Neut|Nom|Sg	15	det	1331	1331
15	Land	Land	N	NN	Neut|Nom|Sg	30	subj	1331	1331
16	dort	dort	A	ADV	_	15	adv	1331	1331
17	drüben	drüben	N	NN	Neut|Nom|Sg	15	app	1331	1331
18	,	,	$	$,	_	0	root	1331	1331
19	das	die	P	PRELS	Neut|_|Sg	27	obja	1331	1331
20	unser	unsre	A	PPOSAT	Masc|Nom|Sg	21	det	1332	1332
21	Bug	Bug	N	NN	Masc|Nom|Sg	28	subj	1334	1334
22	in	in	P	APPR	Dat	27	pp	_	_
23	keiner	keine	A	PIAT	Fem|Dat|Sg	25	det	_	_
24	halben	halb	A	ADJA	Pos|Fem|Dat|Sg|Wk|	25	attr	_	_
25	Stunde	Stunde	N	NN	Fem|Dat|Sg	22	pn	_	_
26	Zeit	Zeit	N	NN	Fem|Dat|Sg	25	app	_	_
27	berühren	berühren	V	VVINF	_	28	aux	_	_
28	wird	werden	V	VAFIN	3|Sg|Pres|Ind	17	rel	_	_
29	,	,	$	$,	_	0	root	_	_
30	ist	sein	V	VAFIN	3|Sg|Pres|Ind	13	cj	_	_
31	Illinois	Illinois	N	NE	Neut|Nom|Sg	30	pred	298	298
32	,	,	$	$,	_	0	root	298	298
33	der	die	A	ART	Def|Masc|Nom|Sg	36	det	298	298
34	erste	erst	A	ADJA	_|Masc|Nom|Sg|Wk|	36	attr	298	298
35	freie	frei	A	ADJA	Pos|Masc|Nom|Sg|Wk|	36	attr	298	298
36	Staat	Staat	N	NN	Masc|Nom|Sg	31	kon	298	298
37	und	und	K	KON	_	36	kon	_	_
38	künftig	künftig	A	ADJD	Pos|	40	adv	_	_
39	unsere	unsre	A	PPOSAT	Fem|Nom|Sg	40	det	1332	1332
40	Heimat	Heimat	N	NN	Fem|Nom|Sg	37	cj	_	_
41	.	.	$	$.	_	0	root	_	_

1	Dort	dort	A	ADV	_	2	adv	_	_
2	drüben	drüben	A	ADJD	_	3	adv	_	_
3	landen	landen	V	VVFIN	1|Pl|Pres|_	0	root	_	_
4	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	1332	1332
5	,	,	$	$,	_	0	root	_	_
6	und	und	K	KON	_	3	kon	_	_
7	noch	noch	A	ADV	_	8	adv	_	_
