31	zu	zu	P	PTKA	_	32	adv	_	_
32	schwer	schwer	A	ADJD	Pos|	0	root	_	_
33	.	.	$	$.	_	0	root	_	_

1	Mein	meine	A	PPOSAT	Neut|Nom|Sg	3	det	_	_
2	eignes	eignes	A	ADJA	_|Neut|Nom|Sg|_	3	attr	_	_
3	Buch	Buch	N	NN	Neut|Nom|Sg	7	subj	_	_
4	über	über	P	APPR	Acc	3	pp	_	_
5	die	die	A	ART	Def|Fem|Acc|Sg	6	det	278	278
6	Stadt	Stadt	N	NN	Fem|Acc|Sg	4	pn	278	278
7	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
8	zu	zu	P	APPR	Dat	12	pp	_	_
9	einer	eine	A	ART	Indef|Fem|Dat|Sg	10	det	_	_
10	Pillory	Pillory	N	NN	Fem|Dat|Sg	8	pn	_	_
11	derselben	dieselbe	P	PDS	Fem|Dat|Sg	12	objd	_	_
12	verkehrt	verkehren	V	VVPP	_	7	aux	_	_
13	;	;	$	$.	_	0	root	_	_
14	die	die	A	ART	Def|Fem|Nom|Sg	16	det	1814	1814
15	junge	jung	A	ADJA	Pos|Fem|Nom|Sg|_|	16	attr	1814	1814
16	Bande	Band	N	NN	Fem|Nom|Sg	17	subj	1814	1814
17	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
18	jedem	jede	P	PIS	_|Dat|Sg	17	objd	_	_
19	den	die	A	ART	Def|Masc|Acc|Sg	20	det	279	279
20	Kopf	Kopf	N	NN	Masc|Acc|Sg	17	obja	279	279
21	ab	ab	P	PTKVZ	_	17	avz	279	279
22	,	,	$	$,	_	0	root	279	279
23	der	die	P	PRELS	Masc|Nom|Sg	27	subj	279	279
24	auf	auf	P	APPR	Dat	27	pp	_	_
25	ihm	er	P	PPER	3|Sg|_|Dat	24	pn	280	280
26	Haare	Haar	N	NN	Neut|_|_	27	obja	_	_
27	hatte	haben	V	VAFIN	3|Sg|Past|Ind	20	rel	_	_
28	oder	oder	K	KON	_	0	root	_	_
29	keinen	keine	A	PIAT	Masc|Acc|Sg	30	det	_	_
30	Hut	Hut	N	NN	Masc|Acc|Sg	28	cj	_	_
31	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	281	281
2	Alten	Alt	N	NN	_|Nom|Pl	3	subj	281	281
3	zitierten	zitieren	V	VVFIN	3|Pl|Past|_	0	root	_	_
4	die	die	A	ART	Def|_|_|Pl	5	det	_	_
5	Alten	Alt	N	NN	_|_|Pl	3	obja	_	_
6	sonst	sonst	A	ADV	_	7	adv	_	_
7	wohlwollend	wohlwollen	A	ADJD	_|<PPRES	14	adv	_	_
8	mit	mit	P	APPR	Dat	7	pp	_	_
9	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	_	_
10	Beiwort	Beiwort	N	NN	Neut|Dat|Sg	8	pn	_	_
11	»	»	$	$(	_	0	root	_	_
12	unsere	unsre	A	PPOSAT	_|_|Pl	14	det	282	282
13	frommen	fromm	A	ADJA	Pos|_|_|Pl|Wk|	14	attr	_	_
