3	ihn	er	P	PPER	3|Sg|Masc|Acc	8	obja	7	7
4	die	die	A	ART	Def|Masc|Nom|Pl	5	det	99	99
5	Kannibalen	Kannibale	N	NN	Masc|Nom|Pl	9	subj	99	99
6	im	in	P	APPRART	Dat	8	pp	_	_
7	Rathaus	Rathaus	N	NN	Neut|Dat|Sg	6	pn	113	113
8	gefunden	finden	V	VVPP	_	9	aux	_	_
9	hätten	haben	V	VAFIN	3|Pl|Past|Subj	11	neb	_	_
10	,	,	$	$,	_	0	root	_	_
11	wäre	sein	V	VAFIN	3|Sg|Past|Subj	1	cj	_	_
12	wahrscheinlich	wahrscheinlich	A	ADJD	Pos|	15	adv	_	_
13	ein	eine	A	ART	Indef|Neut|Nom|Sg	14	det	_	_
14	Unglück	Unglück	N	NN	Neut|Nom|Sg	11	subj	_	_
15	passiert	passieren	V	VVPP	_	11	aux	_	_
16	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	7	7
2	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	_
3	aber	aber	A	ADV	_	2	adv	_	_
4	,	,	$	$,	_	0	root	_	_
5	er	er	P	PPER	3|Sg|Masc|Nom	6	subj	7	7
6	werde	werden	V	VAFIN	3|Sg|Pres|Subj	2	s	_	_
7	schon	schon	A	ADV	_	12	adv	_	_
8	noch	noch	A	ADV	_	12	adv	_	_
9	mit	mit	P	APPR	Dat	12	objp	_	_
10	den	die	A	ART	Def|Masc|Dat|Pl	11	det	21	21
11	Herren	Herr	N	NN	Masc|Dat|Pl	9	pn	21	21
12	zusammentreffen	zusammentreffen	V	VVINF	_	6	aux	_	_
13	,	,	$	$,	_	0	root	_	_
14	wenn	wenn	K	KOUS	_	19	konj	_	_
15	ihnen	sie	P	PPER	3|Pl|_|Dat	18	objd	_	_
16	der	die	A	ART	Def|Masc|Nom|Sg	17	det	_	_
17	Rausch	Rausch	N	NN	Masc|Nom|Sg	19	subj	_	_
18	vergangen	vergehen	V	VVPP	_	19	aux	_	_
19	wäre	sein	V	VAFIN	3|Sg|Past|Subj	6	neb	_	_
20	,	,	$	$,	_	0	root	_	_
21	und	und	K	KON	_	19	kon	_	_
22	es	es	P	PPER	3|Sg|Neut|Nom	23	subj	_	_
23	ist	sein	V	VAFIN	3|Sg|Pres|Ind	21	cj	_	_
24	auch	auch	A	ADV	_	30	adv	_	_
25	ein	eine	A	ART	Indef|_|_|Sg	27	det	_	_
26	paar	paar	A	PIDAT	Fem|_|Pl	27	attr	_	_
27	Wochen	Woche	N	NN	Fem|_|Pl	28	grad	_	_
28	später	spät	A	ADJD	_|	29	adv	_	_
29	so	so	A	ADV	_	30	adv	_	_
30	gekommen	kommen	V	VVPP	_	23	aux	_	_
31	.	.	$	$.	_	0	root	_	_

1	Also	also	A	ADV	_	2	adv	_	_
2	jetzt	jetzt	A	ADV	_	3	adv	_	_
3	stand	stehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
4	er	er	P	PPER	3|Sg|Masc|Nom	3	subj	7	7
5	im	in	P	APPRART	Dat	3	pp	_	_
6	Hof	Hof	N	NN	Masc|Dat|Sg	5	pn	_	_
7	vom	von	P	APPRART	Dat	6	pp	_	_
8	Sternbräu	Sternbräu	N	NN	_|Dat|_	7	pn	100	100
9	und	und	K	KON	_	3	kon	_	_
10	machte	machen	V	VVFIN	_|Sg|Past|_	9	cj	_	_
11	ein	eine	A	ART	Indef|Neut|_|Sg	13	det	_	_
12	fuchsteufelswildes	fuchsteufelswild	A	ADJA	Pos|Neut|_|Sg|St|	13	attr	_	_
13	Gesicht	Gesicht	N	NN	Neut|_|Sg	10	obja	_	_
14	.	.	$	$.	_	0	root	_	_

1	Den	die	A	ART	Def|Masc|Acc|Sg	2	det	6	6
2	Messerschmied	Messerschmied	N	NN	Masc|Acc|Sg	10	obja	6	6
3	Simon	Simon	N	NE	Masc|Acc|Sg	2	app	6	6
4	,	,	$	$,	_	0	root	_	_
5	der	die	P	PRELS	Masc|Nom|Sg	8	subj	6	6
6	ihn	er	P	PPER	3|Sg|Masc|Acc	8	obja	7	7
7	militärisch	militärisch	A	ADJD	Pos|	8	adv	_	_
8	grüßte	grüßen	V	VVFIN	3|Sg|Past|_	3	rel	_	_
9	,	,	$	$,	_	0	root	_	_
10	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
11	er	er	P	PPER	3|Sg|Masc|Nom	10	subj	7	7
12	gleich	gleich	A	ADJD	Pos|	10	adv	_	_
13	an	an	P	PTKVZ	_	10	avz	_	_
14	:	\:	$	$.	_	0	root	_	_
15	"	"	$	$(	_	0	root	_	_
16	Wer	wer	P	PWS	_|Nom|Sg	17	pred	_	_
17	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	_
18	Sie	sie	P	PPER	3|Pl|_|Nom	17	subj	100	100
19	?	?	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	"	"	$	$(	_	0	root	_	_
3	Melde	melden	V	VVIMP	Sg	0	root	_	_
4	mich	ich	P	PPER	1|Sg|_|Acc	3	obja	6	6
5	zur	zu	P	APPRART	Dat	3	pp	_	_
6	Stelle	Stelle	N	NN	Fem|Dat|Sg	5	pn	6	6
7	,	,	$	$,	_	0	root	6	6
8	Leutnant	Leutnant	N	NN	Masc|Dat|Sg	6	app	6	6
9	Simon	Simon	N	NE	_|Dat|Sg	8	app	6	6
10	vom	von	P	APPRART	Dat	8	pp	_	_
11	Landwehrbataillon	Landwehrbataillon	N	NN	Neut|Dat|Sg	10	pn	_	_
12	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	So	so	A	ADV	_	0	root	_	_
3	?	?	$	$.	_	0	root	_	_

1	Von	von	P	APPR	Dat	0	root	_	_
2	den	die	A	ART	Def|Masc|Dat|Pl	3	det	_	_
3	Hasenfüßen	Hasenfuß	N	NN	Masc|Dat|Pl	1	pn	_	_
4	?	?	$	$.	_	0	root	_	_

1	Ihr	ihr	P	PPER	2|Pl|_|Nom	2	subj	_	_
2	benehmt	benehmen	V	VVFIN	2|Pl|Pres|Ind	0	root	_	_
3	euch	ihr	P	PPER	2|Pl|_|_	2	obja	_	_
4	schön	schön	A	ADJD	Pos|	2	adv	_	_
5	und	und	K	KON	_	0	root	_	_
6	laßt	laßt	V	VVFIN	_|Pl|_|_	0	root	_	_
7	die	die	A	ART	Def|Masc|Nom|Pl	9	det	_	_
8	besoffenen	besoffen	A	ADJA	Pos|Masc|Nom|Pl|Wk|	9	attr	_	_
9	Lümmel	Lümmel	N	NN	Masc|Nom|Pl	6	subj	_	_
10	die	die	A	ART	Def|Fem|_|Sg	12	det	_	_
11	ganze	ganz	A	ADJA	Pos|Fem|_|Sg|_|	12	attr	_	_
12	Stadt	Stadt	N	NN	Fem|_|Sg	6	obja	_	_
13	auf	auf	P	APPR	Acc	6	pp	_	_
14	den	die	A	ART	Def|Masc|Acc|Sg	15	det	52	52
15	Kopf	Kopf	N	NN	Masc|Acc|Sg	13	pn	52	52
16	stellen	stellen	V	VVINF	_	0	root	_	_
17	!	!	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Zu	zu	P	APPR	Dat	8	pp	_	_
3	Befehl	Befehl	N	NN	Masc|Dat|Sg	2	pn	103	103
4	,	,	$	$,	_	0	root	103	103
5	Herr	Herr	N	NN	Masc|Dat|Sg	3	app	103	103
6	Oberst	Oberst	N	NN	Masc|Dat|Sg	5	app	103	103
7	,	,	$	$,	_	0	root	_	_
8	ich	ich	P	PPER	1|Sg|_|Nom	9	subj	101	101
9	tu	tun	V	VVFIN	1|Sg|Pres|Ind	0	root	_	_
10	meine	meine	A	PPOSAT	Fem|_|Sg	11	det	101	101
11	Bürgerpflicht	Bürgerpflicht	N	NN	Fem|_|Sg	9	obja	_	_
12	,	,	$	$,	_	0	root	_	_
13	und	und	K	KON	_	9	kon	_	_
14	will	wollen	V	VMFIN	_|Sg|Pres|Ind	13	cj	_	_
15	mit	mit	P	APPR	Dat	21	pp	_	_
16	meinem	meine	A	PPOSAT	Neut|Dat|Sg	17	det	101	101
17	Korps	Korps	N	NN	Neut|Dat|Sg	15	pn	_	_
18	zum	zu	P	APPRART	Dat	21	pp	_	_
19	Major	Major	N	NN	Masc|Dat|Sg	18	pn	5	5
20	Schmitt	Schmitt	N	NE	_|Dat|Sg	19	app	5	5
21	stoßen	stoßen	V	VVINF	_	14	aux	_	_
22	,	,	$	$,	_	0	root	_	_
23	daß	daß	K	KOUS	_	27	konj	_	_
24	wir	wir	P	PPER	1|Pl|_|Nom	27	subj	_	_
25	die	die	A	ART	Def|Fem|_|Sg	26	det	102	102
26	Ordnung	Ordnung	N	NN	Fem|_|Sg	27	obja	102	102
27	herstellen	herstellen	V	VVFIN	1|Pl|Pres|_	14	subjc	_	_
28	.	.	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	Ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	das	die	P	PDS	Neut|Nom|Sg	2	subj	_	_
4	Ihr	ihre	A	PPOSAT	Neut|Nom|Sg	6	det	102	102
5	ganzes	ganz	A	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	_	_
6	Korps	Korps	N	NN	Neut|Nom|Sg	2	pred	_	_
7	?	?	$	$.	_	0	root	_	_

1	"	"	$	$(	_	0	root	_	_
2	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
3	der	die	A	ART	Def|Masc|Nom|Sg	4	det	103	103
4	Oberst	Oberst	N	NN	Masc|Nom|Sg	2	subj	103	103
5	und	und	K	KON	_	2	kon	_	_
6	schaut	schauen	V	VVFIN	_|_|Pres|Ind	5	cj	_	_
7	den	die	A	ART	Def|Masc|Acc|Sg	8	det	_	_
8	Trommler	Trommler	N	NN	Masc|Acc|Sg	6	obja	_	_
9	an	an	P	PTKVZ	_	6	avz	_	_
10	und	und	K	KON	_	0	root	_	_
11	den	die	A	ART	Def|Masc|Acc|Sg	12	det	_	_
12	Trompeter	Trompeter	N	NN	Masc|Acc|Sg	10	cj	_	_
