41	Blüte	Blüte	N	NN	Fem|Acc|Sg	39	pn	1700	1700
42	,	,	$	$,	_	0	root	1700	1700
43	die	die	P	PRELS	Fem|Nom|Sg	47	subj	1700	1700
44	das	die	A	ART	Def|Neut|_|Sg	45	det	1701	1701
45	Menschenherz	Menschenherz	N	NN	Neut|_|Sg	46	obja	1701	1701
46	treiben	treiben	V	VVINF	_	47	aux	_	_
47	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	41	rel	_	_
48	,	,	$	$,	_	0	root	_	_
49	legt	legen	V	VVFIN	3|Sg|Pres|Ind	31	s	_	_
50	er	er	P	PPER	3|Sg|Masc|Nom	49	subj	640	640
51	den	die	A	ART	Def|Masc|Acc|Sg	52	det	_	_
52	Mehltau	Mehltau	N	NN	Masc|Acc|Sg	49	obja	_	_
53	der	die	A	ART	Def|Fem|Gen|Sg	54	det	_	_
54	Selbstsucht	Selbstsucht	N	NN	Fem|Gen|Sg	52	gmod	_	_
55	:	\:	$	$.	_	0	root	_	_
56	die	die	A	ART	Def|_|_|_	60	det	_	_
57	wahre	wahr	A	ADJA	Pos|_|_|_|_|	60	attr	_	_
58	,	,	$	$,	_	0	root	_	_
59	lautere	laut	A	ADJA	_|_|_|_|_|	57	kon	_	_
60	Quelle	Quell	N	NN	_|_|_	0	root	_	_
61	jeder	jede	A	PIDAT	Fem|Gen|Sg	62	det	_	_
62	Tugend	Tugend	N	NN	Fem|Gen|Sg	60	gmod	_	_
63	,	,	$	$,	_	0	root	_	_
64	jeder	jede	A	PIDAT	Fem|Dat|Sg	66	det	_	_
65	wahren	wahr	A	ADJA	Pos|Fem|Dat|Sg|Wk|	66	attr	_	_
66	Aufopferung	Aufopferung	N	NN	Fem|Dat|Sg	67	objd	_	_
67	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
68	die	die	A	ART	Def|Fem|Nom|Sg	71	det	1702	1702
69	traurig	traurig	A	ADJD	Pos|	70	adv	1702	1702
70	süße	süß	A	ADJA	Pos|Fem|Nom|Sg|_|	71	attr	1702	1702
71	Vergangenheit	Vergangenheit	N	NN	Fem|Nom|Sg	67	subj	1702	1702
72	mit	mit	P	APPR	Dat	67	pp	_	_
73	ihren	ihre	A	PPOSAT	_|Dat|_	75	det	1702	1702
74	erloschenen	erloschen	A	ADJA	Pos|_|Dat|_|_|	75	attr	_	_
75	Bildern	Bild	N	NN	_|Dat|_	72	pn	_	_
76	,	,	$	$,	_	0	root	_	_
77	mit	mit	P	APPR	Dat	72	kon	_	_
78	ihren	ihre	A	PPOSAT	Fem|Dat|Pl	83	det	1702	1702
79	ganz	ganz	A	ADV	_	82	adv	_	_
80	oder	oder	K	KON	_	79	kon	_	_
81	halb	halb	A	ADJD	Pos|	80	cj	_	_
82	verklungenen	verklingt	A	ADJA	Pos|Fem|Dat|Pl|_|	83	attr	_	_
83	Taten	Tat	N	NN	Fem|Dat|Pl	77	pn	_	_
84	und	und	K	KON	_	83	kon	_	_
85	Träumen	Traum	N	NN	_|Dat|_	84	cj	_	_
86	.	.	$	$.	_	0	root	_	_

1	Wer	wer	P	PWS	Masc|Nom|Sg	2	subj	_	_
2	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	_	_
4	Kind	Kind	N	NN	Neut|_|Sg	5	obja	_	_
5	beleidigen	beleidigen	V	VVINF	_	2	aux	_	_
6	,	,	$	$,	_	0	root	_	_
7	der	die	P	PRELS	Masc|Nom|Sg	9	subj	1703	1703
8	daran	daran	P	PROAV	_	9	objp	_	_
9	denkt	denken	V	VVFIN	3|Sg|Pres|Ind	1	rel	_	_
10	,	,	$	$,	_	0	root	_	_
11	daß	daß	K	KOUS	_	0	root	_	_
12	er	er	P	PPER	3|Sg|Masc|Nom	19	subj	1703	1703
13	einst	einst	A	ADV	_	14	adv	_	_
14	selbst	selbst	A	ADV	_	12	adv	_	_
15	sich	sie	P	PRF	3|_|Dat	19	objd	_	_
16	an	an	P	APPR	Acc	19	pp	_	_
17	die	die	A	ART	Def|Fem|Acc|Sg	18	det	_	_
18	Mutterbrust	Mutterbrust	N	NN	Fem|Acc|Sg	16	pn	_	_
19	geschmiegt	schmiegen	V	VVPP	_	0	root	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	27	konj	_	_
