13	!	!	$	$.	_	0	root	_	_

1	Es	es	P	PPER	3|Sg|Neut|Nom	2	subj	_	_
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	immer	immer	A	ADV	_	6	adv	_	_
4	ein	eine	A	ART	Indef|Neut|Nom|Sg	5	det	1520	1520
5	Gemeinwesen	Gemeinwesen	N	NN	Neut|Nom|Sg	6	pred	1520	1520
6	gewesen	sein	V	VAPP	_	2	aux	1520	1520
7	,	,	$	$,	_	0	root	1520	1520
8	das	die	P	PRELS	Neut|Nom|Sg	36	subj	1520	1520
9	auf	auf	P	APPR	_	35	pp	_	_
10	Reinlichkeit	Reinlichkeit	N	NN	Fem|_|Sg	9	pn	_	_
11	,	,	$	$,	_	0	root	_	_
12	Ordnung	Ordnung	N	NN	Fem|_|Sg	10	app	_	_
13	,	,	$	$,	_	0	root	_	_
14	grüne	grün	A	ADJA	Pos|Masc|_|Pl|St|	15	attr	254	254
15	Bäume	Baum	N	NN	Masc|_|Pl	35	obja	254	254
16	auf	auf	P	APPR	_	35	pp	_	_
17	den	die	A	ART	Def|_|_|_	18	det	_	_
18	Märktplätzen	Märktplätzen	N	NN	_|_|_	16	pn	_	_
19	und	und	K	KON	_	16	kon	_	_
20	in	in	P	APPR	Dat	19	cj	_	_
21	den	die	A	ART	Def|_|Dat|Pl	23	det	1523	1523
22	breitern	breitern	A	ADJA	_|_|Dat|Pl|_	23	attr	1523	1523
23	Straßen	Straß	N	NN	_|Dat|Pl	20	pn	1523	1523
24	,	,	$	$,	_	0	root	1523	1523
25	auf	auf	P	APPR	Acc	32	pp	1523	1523
26	sprudelnde	sprudelnd	A	ADJA	Pos|Masc|Acc|Pl|St|<PPRES	27	attr	1523	1523
27	Brunnen	Brunnen	N	NN	Masc|Acc|Pl	25	pn	1523	1523
28	und	und	K	KON	_	27	kon	1523	1523
29	was	was	P	PWS	Neut|Acc|Sg	28	cj	1523	1523
30	sonst	sonst	A	ADV	_	32	adv	1523	1523
31	hierzu	hierzu	P	PROAV	_	32	objp	1523	1523
32	gehört	gehören	V	VVFIN	_|_|Pres|Ind	23	par	_	_
33	,	,	$	$,	_	0	root	_	_
34	viel	viel	A	ADV	_	35	adv	_	_
35	gehalten	halten	V	VVPP	_	36	aux	_	_
36	hatte	haben	V	VAFIN	3|Sg|Past|Ind	5	rel	_	_
37	.	.	$	$.	_	0	root	_	_

1	Auch	auch	A	ADV	_	3	adv	1522	1522
2	die	die	A	ART	Def|Fem|_|Sg	3	det	1522	1522
3	Weltgeschichte	Weltgeschichte	N	NN	Fem|_|Sg	0	root	1522	1522
4	,	,	$	$,	_	0	root	_	_
5	das	die	P	PDS	Neut|Nom|Sg	6	subj	_	_
6	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
7	in	in	P	APPR	Dat	6	pp	_	_
8	diesem	diese	A	PDAT	Masc|Dat|Sg	9	det	1140	1140
9	Falle	Fall	N	NN	Masc|Dat|Sg	7	pn	1140	1140
10	der	die	A	ART	Def|Masc|Nom|Sg	11	det	215	215
11	Prinz	Prinz	N	NN	Masc|Nom|Sg	6	pred	215	215
12	Xaver	Xaver	N	NE	Masc|Nom|Sg	11	app	215	215
13	von	von	P	APPR	_	11	pp	_	_
14	Sachsen	Sachsen	N	NE	_|_|_	13	pn	153	153
15	mit	mit	P	APPR	Dat	14	pp	153	153
16	seinem	seine	A	PPOSAT	Neut|Dat|Sg	17	det	153	153
17	Bombardement	Bombardement	N	NN	Neut|Dat|Sg	15	pn	_	_
18	und	und	K	KON	_	6	kon	_	_
19	nach	nach	P	APPR	Dat	23	pp	1521	1521
20	ihm	er	P	PPER	3|Sg|_|Dat	19	pn	153	153
21	mehrere	mehrere	A	PIAT	Masc|Nom|Pl	23	det	_	_
22	große	groß	A	ADJA	Pos|Masc|Nom|Pl|St|	23	attr	_	_
23	Brände	Brand	N	NN	Masc|Nom|Pl	24	subj	_	_
24	hatten	haben	V	VAFIN	3|Pl|Past|Ind	18	cj	_	_
25	das	die	P	PDS	Neut|_|Sg	24	obja	_	_
26	ihrige	ihrige	A	PPOSAT	_|_|_	0	root	1522	1522
27	getan	tun	V	VVPP	_	0	root	_	_
28	,	,	$	$,	_	0	root	_	_
29	die	die	A	ART	Def|Fem|_|Sg	30	det	54	54
30	Stadt	Stadt	N	NN	Fem|_|Sg	38	obja	54	54
31	dem	die	A	ART	Def|Masc|Dat|Sg	33	det	_	_
32	laufenden	laufend	A	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	33	attr	_	_
33	Tage	Tag	N	NN	Masc|Dat|Sg	38	objd	_	_
34	hübsch	hübsch	A	ADJD	Pos|	38	adv	_	_
35	und	und	K	KON	_	34	kon	_	_
