23	sich	sie	P	PRF	3|_|_	27	obja	_	_
24	mit	mit	P	APPR	Dat	27	pp	_	_
25	untergehender	untergehend	A	ADJA	Pos|Fem|Dat|Sg|St|<PPRES	26	attr	_	_
26	Sonne	Sonne	N	NN	Fem|Dat|Sg	24	pn	_	_
27	beruhigten	beruhigen	V	VVFIN	3|Pl|Past|_	32	objc	_	_
28	,	,	$	$,	_	0	root	_	_
29	kann	können	V	VMFIN	3|Sg|Pres|Ind	14	cj	_	_
30	man	man	P	PIS	_|Nom|Sg	29	subj	_	_
31	nicht	nicht	P	PTKNEG	_	32	adv	_	_
32	behaupten	behaupten	V	VVINF	_	29	aux	_	_
33	.	.	$	$.	_	0	root	_	_

1	Kurz	kurz	A	ADJD	Pos|	2	adv	_	_
2	vor	vor	P	APPR	_	5	objp	_	_
3	zehn	zehn	C	CARD	_	4	attr	_	_
4	Uhr	Uhr	N	NN	Fem|_|Sg	2	pn	_	_
5	trat	treten	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
6	der	die	A	ART	Def|Masc|Nom|Sg	7	det	_	_
7	Mond	Mond	N	NN	Masc|Nom|Sg	5	subj	_	_
8	ins	in	P	APPRART	Acc	7	pp	_	_
9	letzte	letzte	A	ADJA	Pos|_|Acc|_|_|	10	attr	_	_
10	Viertel	Viertel	N	NN	_|Acc|_	8	pn	_	_
11	und	und	K	KON	_	7	kon	_	_
12	der	die	A	ART	Def|Masc|Nom|Sg	14	det	71	71
13	weise	weise	A	ADJA	Pos|Masc|Nom|Sg|Wk|	14	attr	71	71
14	Seneka	Seneka	N	NN	Masc|Nom|Sg	11	cj	71	71
15	im	in	P	APPRART	Dat	5	pp	_	_
16	Frack	Frack	N	NN	Masc|Dat|Sg	15	pn	_	_
17	zu	zu	P	APPR	Dat	16	pp	_	_
18	dem	die	A	ART	Def|Masc|Dat|Sg	19	det	462	462
19	Neffen	Neffe	N	NN	Masc|Dat|Sg	17	pn	462	462
20	der	die	A	ART	Def|Fem|Gen|Sg	21	det	317	317
21	Frau	Frau	N	NN	Fem|Gen|Sg	19	gmod	317	317
22	Rittmeisterin	Rittmeisterin	N	NN	Fem|Gen|Sg	21	app	317	317
23	,	,	$	$,	_	0	root	_	_
24	packte	packen	V	VVFIN	_|Sg|Past|_	5	kon	_	_
25	ihn	er	P	PPER	3|Sg|Masc|Acc	24	obja	462	462
26	am	an	P	APPRART	Dat	24	pp	_	_
27	Arm	Arm	N	NN	Masc|Dat|Sg	26	pn	343	343
28	,	,	$	$,	_	0	root	_	_
29	führte	führen	V	VVFIN	_|Sg|Past|_	24	kon	_	_
30	ihn	er	P	PPER	3|Sg|Masc|Acc	29	obja	462	462
31	hinter	hinter	P	APPR	Acc	29	pp	_	_
32	die	die	A	ART	Def|Fem|Acc|Sg	33	det	_	_
33	Fenstergardine	Fenstergardine	N	NN	Fem|Acc|Sg	31	pn	_	_
34	,	,	$	$,	_	0	root	_	_
35	aus	aus	P	APPR	Dat	0	root	_	_
36	dem	die	A	ART	Def|Masc|Dat|Sg	37	det	_	_
