3	hab	hab	V	VAFIN	1|Sg|_|_	0	root	_	_
4	ich	ich	P	PPER	1|Sg|_|Nom	3	subj	355	355
5	ihm	er	P	PPER	3|Sg|_|Dat	8	objd	7	7
6	ein	eine	A	ART	Indef|Neut|_|Sg	7	det	_	_
7	Gewehr	Gewehr	N	NN	Neut|_|Sg	8	obja	_	_
8	gegeben	geben	V	VVPP	_	3	aux	_	_
9	...	...	$	$.	_	0	root	_	_
10	hier	hier	A	ADV	_	11	adv	_	_
11	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
12	es	es	P	PPER	3|Sg|Neut|Nom	11	subj	_	_
13	als	als	K	KOKOM	_	11	kom	_	_
14	curpos	curpos	F	FM	_	13	cj	_	_
15	dilecti	dilecti	F	FM	_	14	app	_	_
16	am	an	P	APPRART	Dat	11	objp	_	_
17	Tisch	Tisch	N	NN	Masc|Dat|Sg	16	pn	354	354
18	...	...	$	$.	_	0	root	_	_
19	meine	meine	A	PPOSAT	_|_|_	20	det	355	355
20	Sonntagsmontur	Sonntagsmontur	N	NN	_|_|_	23	obja	_	_
21	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
22	er	er	P	PPER	3|Sg|Masc|Nom	21	subj	354	354
23	getragen	tragen	V	VVPP	_	21	aux	_	_
24	und	und	K	KON	_	21	kon	_	_
25	verschlampt	verschlampen	V	VVFIN	_|_|Pres|Ind	24	cj	_	_
26	,	,	$	$,	_	0	root	_	_
27	meine	meine	A	PPOSAT	Masc|_|_	28	det	355	355
28	Stiefel	Stiefel	N	NN	Masc|_|_	32	obja	_	_
29	hat	haben	V	VAFIN	3|Sg|Pres|Ind	25	kon	_	_
30	er	er	P	PPER	3|Sg|Masc|Nom	29	subj	354	354
31	krumm	krumm	A	ADJD	Pos|	32	adv	_	_
32	getreten	treten	V	VVPP	_	29	aux	_	_
33	,	,	$	$,	_	0	root	_	_
34	meinen	meinen	V	VVFIN	_|Pl|Pres|_	29	kon	_	_
35	Tabak	Tabak	N	NN	Masc|_|Sg	38	obja	_	_
36	hat	haben	V	VAFIN	3|Sg|Pres|Ind	34	s	_	_
37	er	er	P	PPER	3|Sg|Masc|Nom	36	subj	354	354
38	geraucht	rauchen	V	VVPP	_	36	aux	_	_
39	,	,	$	$,	_	0	root	_	_
40	in	in	P	APPR	Acc	43	pp	_	_
41	mein	meine	A	PPOSAT	Neut|Acc|Sg	42	det	355	355
42	Bett	Bett	N	NN	Neut|Acc|Sg	40	pn	_	_
43	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
44	er	er	P	PPER	3|Sg|Masc|Nom	43	subj	354	354
45	sich	sie	P	PRF	3|_|_	43	obja	_	_
46	hineingeflackt	hineingeflackt	A	ADJD	_	43	adv	_	_
47	...	...	$	$.	_	0	root	_	_
48	und	und	K	KON	_	0	root	_	_
49	wenn	wenn	K	KOUS	_	52	konj	_	_
50	er	er	P	PPER	3|Sg|Masc|Nom	52	subj	354	354
51	hosensackblank	hosensackblank	A	ADJD	Pos|	52	pred	_	_
52	war	sein	V	VAFIN	3|Sg|Past|Ind	54	neb	_	_
53	,	,	$	$,	_	0	root	_	_
54	hat	haben	V	VAFIN	3|Sg|Pres|Ind	48	cj	_	_
55	er	er	P	PPER	3|Sg|Masc|Nom	54	subj	354	354
56	den	die	A	ART	Def|Masc|Acc|Sg	58	det	_	_
57	halben	halb	A	ADJA	Pos|Masc|Acc|Sg|_|	58	attr	_	_
58	Monat	Monat	N	NN	Masc|Acc|Sg	61	obja	_	_
59	bei	bei	P	APPR	Dat	61	pp	_	_
60	mir	ich	P	PPER	1|Sg|_|Dat	59	pn	355	355
61	gegessen	essen	V	VVPP	_	54	aux	_	_
62	und	und	K	KON	_	54	kon	_	_
63	hat	haben	V	VAFIN	3|Sg|Pres|Ind	62	cj	_	_
64	sich	sie	P	PRF	3|_|Dat	72	objd	_	_
65	immer	immer	A	ADV	_	72	adv	_	_
66	die	die	A	ART	Def|_|_|Pl	68	det	_	_
67	besten	gut	A	ADJA	Sup|_|_|Pl|Wk|	68	attr	_	_
68	Bröckerln	Bröckerln	N	NN	_|_|Pl	72	obja	_	_
69	aus	aus	P	APPR	Dat	72	pp	_	_
70	der	die	A	ART	Def|Fem|Dat|Sg	71	det	356	356
