5	daß	daß	K	KOUS	_	0	root	_	_
6	ich	ich	P	PPER	1|Sg|_|Nom	0	root	100	100
7	mir	ich	P	PRF	1|Sg|Dat	34	objd	_	_
8	wegen	wegen	P	APPR	_	34	pp	_	_
9	eine	eine	A	ART	Indef|Fem|_|Sg	10	det	447	447
10	Treppe	Treppe	N	NN	Fem|_|Sg	8	pn	447	447
11	hoch	hoch	A	ADJD	Pos|	12	adv	_	_
12	mit	mit	P	APPR	Dat	34	pp	_	_
13	Klavier	Klavier	N	NN	Neut|Dat|Sg	12	pn	_	_
14	un	un	F	FM	Neut|Dat|Sg	13	app	_	_
15	Diwan	Diwan	F	FM	Neut|Dat|Sg	14	app	_	_
16	un	un	F	FM	Neut|Dat|Sg	15	app	_	_
17	wegen	wegen	P	APPR	Dat	34	pp	_	_
18	'	'	$	$(	_	0	root	_	_
19	nen	nen	A	ADJA	_|Masc|Dat|Sg|_	20	attr	98	98
20	Schreibtisch	Schreibtisch	N	NN	Masc|Dat|Sg	17	pn	98	98
21	,	,	$	$,	_	0	root	98	98
22	der	die	P	PRELS	Masc|Nom|Sg	24	subj	98	98
23	immer	immer	A	ADV	_	24	adv	_	_
24	wackelt	wackeln	V	VVFIN	3|Sg|Pres|Ind	20	rel	_	_
25	,	,	$	$,	_	0	root	_	_
26	weil	weil	K	KOUS	_	30	konj	_	_
27	er	er	P	PPER	3|Sg|Masc|Nom	30	subj	98	98
28	dünne	dünn	A	ADJA	Pos|Neut|_|Pl|St|	29	attr	548	548
29	Beine	Bein	N	NN	Neut|_|Pl	30	obja	548	548
30	hat	haben	V	VAFIN	3|Sg|Pres|Ind	35	neb	_	_
31	,	,	$	$,	_	0	root	_	_
32	ein	eine	A	ART	Indef|Neut|Nom|Sg	33	det	_	_
33	Pechpflaster	Pechpflaster	N	NN	Neut|Nom|Sg	35	subj	_	_
34	aufkleben	aufkleben	V	VVINF	_	35	aux	_	_
35	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	_
36	?	?	$	$.	_	0	root	_	_

1	Nein	nein	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	Stinechen	Stinechen	N	NE	_	0	root	750	750
4	,	,	$	$,	_	0	root	_	_
5	da	da	A	ADV	_	6	adv	_	_
6	kennst	kennen	V	VVFIN	2|Sg|Pres|Ind	0	root	_	_
7	du	du	P	PPER	2|Sg|_|Nom	6	subj	99	99
8	deine	deine	A	PPOSAT	Fem|_|Sg	9	det	99	99
9	Schwester	Schwester	N	NN	Fem|_|Sg	6	obja	101	101
10	schlecht	schlecht	A	ADJD	Pos|	6	adv	_	_
11	.	.	$	$.	_	0	root	_	_

1	Oder	oder	K	KON	_	0	root	_	_
2	wegen	wegen	P	APPR	Dat	1	cj	_	_
3	den	die	A	ART	Def|_|Dat|Pl	5	det	_	_
4	blassen	blass	A	ADJA	Pos|_|Dat|Pl|_|	5	attr	_	_
5	Neffen	Neffe	N	NN	_|Dat|Pl	2	pn	_	_
6	?	?	$	$.	_	0	root	_	_

1	Ich	ich	P	PPER	1|Sg|_|Nom	2	subj	100	100
2	denk	denk	V	VVFIN	1|Sg|_|_	0	root	_	_
3	'	'	$	$(	_	0	root	_	_
4	ihn	er	P	PPER	3|Sg|Masc|Acc	2	obja	98	98
5	mir	ich	P	PPER	1|Sg|_|Dat	2	objd	103	103
6	so	so	A	ADV	_	2	adv	_	_
7	.	.	$	$.	_	0	root	_	_
8	«	«	$	$(	_	0	root	_	_
9	Und	und	K	KON	_	0	root	_	_
10	dabei	dabei	P	PROAV	_	11	pp	_	_
11	zog	ziehen	V	VVFIN	3|Sg|Past|Ind	9	cj	_	_
12	sie	sie	P	PPER	3|Sg|Fem|Nom	11	subj	101	101
13	das	die	A	ART	Def|Neut|_|Sg	14	det	102	102
14	Gesicht	Gesicht	N	NN	Neut|_|Sg	11	obja	102	102
15	in	in	P	APPR	Acc	11	objp	_	_
16	die	die	A	ART	Def|Fem|Acc|Sg	17	det	_	_
17	Länge	Länge	N	NN	Fem|Acc|Sg	15	pn	_	_
18	und	und	K	KON	_	11	kon	_	_
19	drückte	drücken	V	VVFIN	_|Sg|Past|_	18	cj	_	_
20	mit	mit	P	APPR	Dat	19	pp	_	_
21	Daumen	Daumen	N	NN	Masc|Dat|_	20	pn	_	_
22	und	und	K	KON	_	21	kon	_	_
23	Zeigefinger	Zeigefinger	N	NN	Masc|Dat|Sg	22	cj	_	_
24	die	die	A	ART	Def|_|_|Pl	26	det	444	444
25	beiden	beide	A	PIDAT	_|_|Pl	26	attr	444	444
26	Backen	Backe	N	NN	_|_|Pl	19	obja	444	444
27	ein	ein	P	PTKVZ	_	19	avz	_	_
28	.	.	$	$.	_	0	root	_	_

