37	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
38	uns	wir	P	PPER	1|Pl|_|Dat	37	objd	_	_
39	die	die	A	ART	Def|Fem|Nom|Sg	40	det	69	69
40	Sonne	Sonne	N	NN	Fem|Nom|Sg	37	subj	69	69
41	!	!	$	$.	_	0	root	_	_

1	Ja	ja	P	PTKANT	_	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	da	da	A	ADV	_	4	adv	_	_
4	waren	sein	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
5	wir	wir	P	PPER	1|Pl|_|Nom	4	subj	919	919
6	glücklich	glücklich	A	ADJD	Pos|	4	pred	_	_
7	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	als	als	K	KOUS	_	7	konj	_	_
3	wir	wir	P	PPER	1|Pl|_|Nom	7	subj	919	919
4	dann	dann	A	ADV	_	7	adv	_	_
5	auf	auf	P	APPR	_	7	objp	_	_
6	Lübeck	Lübeck	N	NE	Neut|_|Sg	5	pn	761	761
7	zogen	ziehen	V	VVFIN	1|Pl|Past|Ind	1	cj	_	_
8	und	und	K	KON	_	7	kon	_	_
9	das	die	A	ART	Def|Neut|_|Sg	10	det	920	920
10	Holstentor	Holstentor	N	NN	Neut|_|Sg	13	obja	920	920
11	vor	vor	P	APPR	_	13	pp	920	920
12	uns	wir	P	PPER	1|Pl|_|_	11	pn	919	919
13	hatten	haben	V	VAFIN	_|Pl|Past|Ind	8	cj	_	_
14	,	,	$	$,	_	0	root	_	_
15	das	die	P	PRELS	Neut|Nom|Sg	23	subj	920	920
16	uns	wir	P	PPER	1|Pl|_|_	23	obja	919	919
17	mit	mit	P	APPR	Dat	23	pp	_	_
18	seinen	seine	A	PPOSAT	_|Dat|_	22	det	920	920
19	grünen	grün	A	ADJA	Pos|_|Dat|_|_|	22	attr	921	921
20	und	und	K	KON	_	19	kon	921	921
21	roten	rot	A	ADJA	Pos|_|Dat|_|_|	20	cj	921	921
22	Ziegeln	Ziegel	N	NN	_|Dat|_	17	pn	921	921
23	ansah	ansehen	V	VVFIN	3|Sg|Past|Ind	10	rel	_	_
24	,	,	$	$,	_	0	root	_	_
25	und	und	K	KON	_	23	kon	_	_
26	dann	dann	A	ADV	_	32	adv	_	_
27	Musik	Musik	N	NN	Fem|Nom|Sg	32	subj	376	376
28	und	und	K	KON	_	27	kon	_	_
29	Fahnenschwenker	Fahnenschwenker	N	NN	Masc|Nom|_	28	cj	_	_
30	auf	auf	P	APPR	_	32	objp	_	_
31	uns	wir	P	PPER	1|Pl|_|_	30	pn	919	919
32	zukamen	zukommen	V	VVFIN	_|Pl|Past|Ind	25	cj	_	_
33	,	,	$	$,	_	0	root	_	_
34	als	als	K	KOKOM	_	0	root	_	_
35	ob	ob	K	KOUS	_	41	konj	_	_
36	man	man	P	PIS	_|Nom|Sg	41	subj	_	_
37	uns	wir	P	PPER	1|Pl|_|Dat	40	objd	919	919
38	einen	eine	A	ART	Indef|Masc|Acc|Sg	39	det	_	_
39	Einzug	Einzug	N	NN	Masc|Acc|Sg	40	obja	_	_
40	machen	machen	V	VVINF	_	41	aux	_	_
41	wolle	wollen	V	VMFIN	3|Sg|Pres|Subj	44	neb	_	_
42	,	,	$	$,	_	0	root	_	_
43	da	da	A	ADV	_	44	adv	_	_
44	lachten	lachen	V	VVFIN	1|Pl|Past|_	0	root	_	_
45	wir	wir	P	PPER	1|Pl|_|Nom	44	subj	919	919
46	und	und	K	KON	_	44	kon	_	_
47	waren	sein	V	VAFIN	_|Pl|Past|Ind	46	cj	_	_
48	froh	froh	A	ADJD	Pos|	47	pred	_	_
49	in	in	P	APPR	Dat	47	pp	_	_
50	unserem	unsre	A	PPOSAT	Neut|Dat|Sg	51	det	919	919
51	Herzen	Herzen	N	NN	Neut|Dat|Sg	49	pn	_	_
52	,	,	$	$,	_	0	root	_	_
53	denn	denn	K	KON	_	47	kon	_	_
54	wir	wir	P	PPER	1|Pl|_|Nom	55	subj	919	919
55	nahmen	nehmen	V	VVFIN	1|Pl|Past|Ind	53	cj	_	_
56	es	es	P	PPER	3|Sg|Neut|_	55	obja	_	_
57	als	als	K	KOKOM	_	55	kom	_	_
58	ein	eine	A	ART	Indef|Neut|_|Sg	60	det	_	_
59	gutes	gut	A	ADJA	Pos|Neut|_|Sg|St|	60	attr	_	_
60	Zeichen	Zeichen	N	NN	Neut|_|Sg	57	cj	_	_
61	und	und	K	KON	_	55	kon	_	_
62	wußten	wußten	V	VVFIN	_	61	cj	_	_
63	nun	nun	A	ADV	_	62	adv	_	_
64	,	,	$	$,	_	0	root	_	_
65	daß	daß	K	KOUS	_	70	konj	_	_
66	wir	wir	P	PPER	1|Pl|_|Nom	70	subj	919	919
67	gute	gut	A	ADJA	Pos|Masc|_|Pl|St|	68	attr	_	_
68	Tage	Tag	N	NN	Masc|_|Pl	69	obja	_	_
69	haben	haben	V	VAINF	_	70	aux	_	_
70	würden	werden	V	VAFIN	1|Pl|Past|Subj	62	objc	_	_
71	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	3	koord	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	3	subj	919	919
3	hatten	haben	V	VAFIN	1|Pl|Past|Ind	0	root	_	_
4	sie	sie	P	PPER	3|_|_|_	3	obja	376	376
5	auch	auch	A	ADV	_	3	adv	_	_
6	,	,	$	$,	_	0	root	_	_
7	und	und	K	KON	_	3	kon	_	_
