5	letzten	letzte	A	ADJA	Pos|Neut|Nom|Pl|Wk|	9	attr	9	9
6	,	,	$	$,	_	0	root	9	9
7	vergeblich	vergeblich	A	ADJD	Pos|	8	adv	9	9
8	beruhigenden	beruhigend	A	ADJA	Pos|_|Nom|Pl|Wk|<PPRES	5	kon	9	9
9	Worte	Wort	N	NN	Neut|Nom|Pl	2	subj	9	9
10	,	,	$	$,	_	0	root	9	9
11	die	die	P	PRELS	Fem|Nom|Sg	16	subj	9	9
12	sie	sie	P	PPER	3|_|_|_	16	obja	9	9
13	vor	vor	P	APPR	_	16	pp	_	_
14	Aufregung	Aufregung	N	NN	Fem|_|Sg	13	pn	_	_
15	kaum	kaum	A	ADV	_	16	adv	_	_
16	hörte	hören	V	VVFIN	3|Sg|Past|_	9	rel	_	_
17	,	,	$	$,	_	0	root	_	_
18	und	und	K	KON	_	9	kon	_	_
19	jene	jene	A	PDAT	Fem|Nom|Sg	21	det	97	97
20	horchende	horchend	A	ADJA	Pos|Fem|Nom|Sg|_|<PPRES	21	attr	97	97
21	Sekunde	Sekunde	N	NN	Fem|Nom|Sg	18	cj	97	97
22	hinter	hinter	P	APPR	Dat	2	pp	_	_
23	der	die	A	ART	Def|Fem|Dat|Sg	25	det	_	_
24	bergenden	bergend	A	ADJA	Pos|Fem|Dat|Sg|Wk|<PPRES	25	attr	_	_
25	Tür	Tür	N	NN	Fem|Dat|Sg	22	pn	_	_
26	,	,	$	$,	_	0	root	_	_
27	ob	ob	K	KOUS	_	34	konj	_	_
28	niemand	niemand	P	PIS	_|Dat|_	34	objd	_	_
29	die	die	A	ART	Def|Fem|Nom|Sg	30	det	0	0
30	Treppe	Treppe	N	NN	Fem|Nom|Sg	34	subj	0	0
31	hinauf	hinauf	A	ADV	_	34	adv	_	_
32	und	und	K	KON	_	31	kon	_	_
33	hinab	hinab	A	ADV	_	32	cj	_	_
34	ginge	gehen	V	VVFIN	3|Sg|Past|Subj	2	objc	_	_
35	.	.	$	$.	_	0	root	_	_

1	Draußen	draußen	A	ADV	_	2	adv	_	_
2	aber	aber	A	ADV	_	3	adv	_	_
