10	sie	sie	P	PPER	3|Sg|Fem|Nom	13	subj	0	0
11	zu	zu	P	PTKZU	_	12	part	_	_
12	hören	hören	V	VVINF	_	13	obji	_	_
13	erwartete	erwarten	V	VVFIN	3|Sg|Past|_	6	rel	_	_
14	,	,	$	$,	_	0	root	_	_
15	hörte	hören	V	VVFIN	3|Sg|Past|_	0	root	_	_
16	sie	sie	P	PPER	3|Sg|Fem|Nom	15	subj	0	0
17	nur	nur	A	ADV	_	15	adv	_	_
18	,	,	$	$,	_	0	root	_	_
19	wie	wie	K	KOKOM	_	17	par	_	_
20	mitten	mitten	A	ADV	_	21	adv	_	_
21	im	in	P	APPRART	Dat	19	cj	_	_
22	Winter	Winter	N	NN	Masc|Dat|Sg	21	pn	_	_
23	,	,	$	$,	_	0	root	_	_
24	ein	eine	A	ART	Indef|Neut|_|Sg	25	det	_	_
25	Knallen	Knall	N	NN	Neut|_|Sg	15	obja	_	_
26	großer	groß	A	ADJA	Pos|_|_|_|St|	27	attr	_	_
27	Hetz-	Hetz-	T	TRUNC	Fem|Gen|Pl	25	gmod	_	_
28	und	und	K	KON	_	27	kon	_	_
29	Schlittenpeitschen	Schlittenpeitsche	N	NN	_|_|_	28	cj	_	_
30	mit	mit	P	APPR	Dat	15	pp	_	_
31	Schellengeläut	Schellengeläut	N	NN	Neut|Dat|Sg	30	pn	_	_
32	dazwischen	dazwischen	P	PTKVZ	_	15	avz	_	_
33	,	,	$	$,	_	0	root	_	_
34	und	und	K	KON	_	0	root	_	_
35	ehe	ehe	K	KOUS	_	0	root	_	_
36	sie	sie	P	PPER	3|_|_|_	0	root	0	0
37	sich	sie	P	PRF	3|_|_	38	obja	_	_
38	zurechtzufinden	zurechtfinden	V	VVIZU	_	0	root	_	_
39	imstande	imstande	A	ADJD	_	40	pred	_	_
40	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
41	,	,	$	$,	_	0	root	_	_
42	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
43	alles	alle	P	PIS	Neut|Nom|Sg	42	subj	_	_
44	schon	schon	A	ADV	_	42	adv	_	_
45	wieder	wieder	A	ADV	_	42	adv	_	_
46	vorüber	vorüber	A	ADV	_	42	pred	_	_
47	und	und	K	KON	_	42	kon	_	_
48	ließ	lassen	V	VVFIN	_|Sg|Past|Ind	47	cj	_	_
49	sie	sie	P	PPER	3|_|_|_	48	obja	0	0
50	verwirrt	verwirren	V	VVFIN	_|_|Pres|Ind	0	root	_	_
51	und	und	K	KON	_	0	root	_	_
52	fragend	fragen	A	ADJD	_|<PPRES	51	cj	_	_
53	und	und	K	KON	_	52	kon	_	_
54	in	in	P	APPR	Dat	53	cj	_	_
55	einer	eine	A	ART	Indef|Fem|Dat|Sg	57	det	_	_
56	halben	halb	A	ADJA	Pos|Fem|Dat|Sg|Wk|	57	attr	_	_
57	Betäubung	Betäubung	N	NN	Fem|Dat|Sg	54	pn	_	_
58	zurück	zurück	P	PTKVZ	_	0	root	_	_
59	.	.	$	$.	_	0	root	_	_

1	In	in	P	APPR	Dat	4	pp	_	_
2	solchem	solche	A	PIDAT	Masc|Dat|Sg	3	det	_	_
3	Zustande	Zustand	N	NN	Masc|Dat|Sg	1	pn	_	_
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
5	es	es	P	PPER	3|Sg|Neut|Nom	4	subj	_	_
6	,	,	$	$,	_	0	root	_	_
7	daß	daß	K	KOUS	_	10	konj	_	_
8	Victoire	Victoire	N	NE	_|Nom|Sg	10	subj	14	14
9	sie	sie	P	PPER	3|_|_|_	10	obja	147	147
10	fand	finden	V	VVFIN	3|Sg|Past|Ind	4	objc	_	_
11	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Um	um	P	APPR	Gen	0	root	_	_
3	Gottes	Gott	N	NN	Masc|Gen|Sg	2	pn	558	558
4	willen	willen	A	APZR	_	2	part	_	_
5	,	,	$	$,	_	0	root	_	_
6	Mama	Mama	N	NN	Fem|_|Sg	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	was	was	P	PWS	Neut|Nom|Sg	9	subj	_	_
9	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	rel	_	_
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_

1	Aber	aber	K	KON	_	0	root	_	_
2	ehe	ehe	K	KOUS	_	7	konj	_	_
3	Frau	Frau	N	NN	Fem|Nom|Sg	7	subj	_	_
4	von	von	P	APPR	_	3	pp	_	_
5	Carayon	Carayon	N	NE	_|_|Pl	4	pn	0	0
6	antworten	antworten	V	VVINF	_	7	aux	0	0
7	konnte	können	V	VMFIN	3|Sg|Past|Ind	9	neb	0	0
8	,	,	$	$,	_	0	root	0	0
9	war	sein	V	VAFIN	3|Sg|Past|Ind	1	cj	0	0
10	die	die	A	ART	Def|Fem|Nom|Sg	11	det	0	0
11	Spitze	Spitz	N	NN	Fem|Nom|Sg	9	subj	0	0
12	der	die	A	ART	Def|Fem|Gen|Sg	13	det	930	930
13	Maskerade	Maskerad	N	NN	Fem|Gen|Sg	11	gmod	930	930
14	zum	zu	P	APPRART	Dat	9	pp	_	_
15	zweiten	zweit	A	ADJA	_|Neut|Dat|Sg|Wk|	16	attr	_	_
16	Male	Mal	N	NN	Neut|Dat|Sg	14	pn	_	_
17	heran	heran	P	PTKVZ	_	9	avz	_	_
18	,	,	$	$,	_	0	root	_	_
19	und	und	K	KON	_	9	kon	_	_
20	Mutter	Mutter	N	NN	Fem|Nom|Sg	41	subj	341	341
21	und	und	K	KON	_	20	kon	_	_
22	Tochter	Tochter	N	NN	Fem|Nom|Sg	21	cj	240	240
23	,	,	$	$,	_	0	root	_	_
24	die	die	P	PRELS	_|Nom|Pl	39	subj	937	937
25	jetzt	jetzt	A	ADV	_	38	adv	_	_
26	rasch	rasch	A	ADJD	Pos|	38	adv	_	_
27	und	und	K	KON	_	26	kon	_	_
28	zu	zu	P	APPR	Dat	27	cj	_	_
29	beßrer	beßrer	A	ADJA	_|Fem|Dat|Sg|_	30	attr	_	_
30	Orientierung	Orientierung	N	NN	Fem|Dat|Sg	28	pn	_	_
31	von	von	P	APPR	Dat	30	pp	_	_
32	ihrem	ihre	A	PPOSAT	Neut|Dat|Sg	33	det	937	937
33	Eckzimmer	Eckzimmer	N	NN	Neut|Dat|Sg	31	pn	938	938
34	aus	aus	A	APZR	_	31	part	_	_
35	auf	auf	P	APPR	Acc	31	kon	_	_
36	den	die	A	ART	Def|Masc|Acc|Sg	37	det	252	252
37	Balkon	Balkon	N	NN	Masc|Acc|Sg	35	pn	252	252
38	hinausgetreten	hinaustreten	V	VVPP	_	39	aux	_	_
39	waren	sein	V	VAFIN	3|Pl|Past|Ind	5	rel	_	_
40	,	,	$	$,	_	0	root	_	_
41	waren	sein	V	VAFIN	_|Pl|Past|Ind	19	cj	_	_
42	von	von	P	APPR	Dat	41	pp	_	_
43	diesem	diese	A	PDAT	Masc|Dat|Sg	44	det	464	464
44	Augenblick	Augenblick	N	NN	Masc|Dat|Sg	42	pn	464	464
45	an	an	P	APPR	_	41	pp	_	_
46	nicht	nicht	P	PTKNEG	_	47	adv	_	_
47	länger	lang	A	ADJD	Comp|	45	pn	_	_
48	mehr	mehr	A	ADV	_	41	adv	_	_
49	in	in	P	APPR	_	41	pp	_	_
50	Zweifel	Zweifel	N	NN	Masc|_|_	49	pn	_	_
51	,	,	$	$,	_	0	root	_	_
52	was	was	P	PRELS	Neut|Nom|Sg	55	subj	938	938
53	das	die	A	ART	Def|Neut|_|Sg	54	det	_	_
54	Ganze	Ganze	N	NN	Neut|_|Sg	55	obja	_	_
55	bedeute	bedeuten	V	VVFIN	3|Sg|Pres|Subj	41	objc	_	_
56	.	.	$	$.	_	0	root	_	_

1	Verhöhnung	Verhöhnung	N	NN	Fem|_|Sg	0	root	_	_
2	,	,	$	$,	_	0	root	_	_
3	gleichviel	gleichviel	A	ADJD	Pos|	4	adv	_	_
4	auf	auf	P	APPR	Acc	0	root	_	_
5	wen	wer	P	PWS	_|Acc|Sg	4	pn	_	_
6	und	und	K	KON	_	5	kon	_	_
7	was	was	P	PWS	Neut|Acc|Sg	6	cj	_	_
8	.	.	$	$.	_	0	root	_	_

1	Erst	erst	A	ADV	_	2	adv	_	_
2	unzüchtige	unzüchtig	A	ADJA	Pos|Fem|_|Pl|St|	3	attr	_	_
3	Nonnen	Nonne	N	NN	Fem|_|Pl	55	vok	_	_
4	,	,	$	$,	_	0	root	_	_
5	mit	mit	P	APPR	Dat	52	pp	864	864
6	einer	eine	A	ART	Indef|Fem|Dat|Sg	7	det	864	864
7	Hexe	Hexe	N	NN	Fem|Dat|Sg	5	pn	864	864
8	von	von	P	APPR	_	7	pp	864	864
9	Äbtissin	Äbtissin	N	NN	Fem|_|Sg	8	pn	864	864
10	an	an	P	APPR	Dat	9	pp	864	864
11	der	die	A	ART	Def|Fem|Dat|Sg	12	det	620	620
12	Spitze	Spitz	N	NN	Fem|Dat|Sg	10	pn	620	620
13	,	,	$	$,	_	0	root	_	_
14	johlend	johlen	A	ADJD	_|<PPRES	10	kon	_	_
15	,	,	$	$,	_	0	root	_	_
16	trinkend	trinken	A	ADJD	_|<PPRES	14	kon	_	_
17	und	und	K	KON	_	16	kon	_	_
18	Karte	Karte	N	NN	Fem|_|Sg	19	obja	_	_
