20	Dorfe	Dorf	N	NN	Neut|Dat|Sg	19	pn	94	94
21	.	.	$	$.	_	0	root	_	_

1	So	so	A	ADV	_	2	adv	_	_
2	ging	gehen	V	VVFIN	1|Sg|Past|Ind	0	root	_	_
3	ich	ich	P	PPER	1|Sg|_|Nom	2	subj	738	738
4	zum	zu	P	APPRART	Dat	6	pp	_	_
5	Herrn	Herrn	N	NN	_|Dat|_	4	pn	976	976
6	Obersten	oberste	A	ADJA	Pos|_|Dat|_|_|	2	objd	_	_
7	,	,	$	$,	_	0	root	_	_
8	um	um	K	KOUI	_	11	konj	_	_
9	mein	meine	A	PPOSAT	Neut|_|Sg	10	det	738	738
10	Anliegen	Anliegen	N	NN	Neut|_|Sg	11	obja	_	_
11	vorzubringen	vorbringen	V	VVIZU	_	2	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	aber	aber	K	KON	_	2	kon	_	_
14	ich	ich	P	PPER	1|Sg|_|Nom	15	subj	738	738
15	traf	treffen	V	VVFIN	1|Sg|Past|Ind	13	cj	_	_
16	ihn	er	P	PPER	3|Sg|Masc|Acc	15	obja	802	802
17	nicht	nicht	P	PTKNEG	_	15	adv	_	_
18	in	in	P	APPR	Dat	15	pp	_	_
19	der	die	A	ART	Def|Fem|Dat|Sg	21	det	_	_
20	besten	gut	A	ADJA	Sup|Fem|Dat|Sg|Wk|	21	attr	_	_
21	Laune	Laune	N	NN	Fem|Dat|Sg	18	pn	_	_
22	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	802	802
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
3	ein	eine	A	ART	Indef|Neut|_|Sg	4	det	_	_
4	Schreiben	Schreibe	N	NN	Neut|_|Sg	2	obja	_	_
5	in	in	P	APPR	Dat	2	pp	_	_
6	der	die	A	ART	Def|Fem|Dat|Sg	7	det	124	124
7	Hand	Hand	N	NN	Fem|Dat|Sg	5	pn	124	124
8	,	,	$	$,	_	0	root	_	_
9	mit	mit	P	APPR	Dat	0	root	_	_
10	dem	die	P	PRELS	_|Dat|Sg	9	pn	124	124
11	er	er	P	PPER	3|Sg|Masc|Nom	0	root	802	802
12	in	in	P	APPR	Dat	11	pp	_	_
13	seinem	seine	A	PPOSAT	Neut|Dat|Sg	14	det	802	802
14	Zimmer	Zimmer	N	NN	Neut|Dat|Sg	12	pn	_	_
15	auf	auf	P	PTKVZ	_	0	root	_	_
16	und	und	K	KON	_	0	root	_	_
17	ab	ab	P	PTKVZ	_	18	avz	_	_
18	ging	gehen	V	VVFIN	_|Sg|Past|Ind	16	cj	_	_
19	;	;	$	$.	_	0	root	_	_
20	die	die	A	ART	Def|Fem|Nom|Sg	21	det	655	655
21	Tante	Tante	N	NN	Fem|Nom|Sg	23	subj	655	655
22	Adelheid	Adelheid	N	NE	Fem|Nom|Sg	21	app	655	655
23	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
24	sich	sie	P	PRF	3|_|_	23	obja	_	_
25	bei	bei	P	APPR	Dat	23	pp	_	_
26	meinem	meine	A	PPOSAT	Masc|Dat|Sg	27	det	738	738
27	Eintritt	Eintritt	N	NN	Masc|Dat|Sg	25	pn	_	_
28	mit	mit	P	APPR	Dat	23	pp	_	_
29	einem	eine	A	ART	Indef|Neut|Dat|Sg	30	det	_	_
30	Kopfaufwerfen	Kopfaufwerfen	N	NN	Neut|Dat|Sg	28	pn	_	_
31	durch	durch	P	APPR	Acc	23	pp	_	_
32	die	die	A	ART	Def|Fem|Acc|Sg	33	det	_	_
33	Seitentür	Seitentür	N	NN	Fem|Acc|Sg	31	pn	_	_
34	davonbegeben	davonbegeben	N	NE	Fem|Acc|Sg	33	app	_	_
35	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	10	10
4	bei	bei	P	APPR	Dat	7	pp	_	_
5	mir	ich	P	PPER	1|Sg|_|Dat	4	pn	738	738
6	zu	zu	P	PTKZU	_	7	part	_	_
7	klagen	klagen	V	VVINF	_	2	aux	_	_
8	,	,	$	$,	_	0	root	_	_
9	Magister	Magister	N	NN	Masc|_|_	2	vok	746	746
10	?	?	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
13	der	die	A	ART	Def|Masc|Nom|Sg	14	det	579	579
14	Oberst	Oberst	N	NN	Masc|Nom|Sg	12	subj	579	579
15	,	,	$	$,	_	0	root	_	_
16	als	als	K	KOUS	_	21	konj	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	21	subj	738	738
18	meine	meine	A	PPOSAT	Fem|_|Sg	19	det	738	738
19	Sache	Sache	N	NN	Fem|_|Sg	20	obja	_	_
20	vorgetragen	vortragen	V	VVPP	_	21	aux	_	_
21	hatte	haben	V	VAFIN	1|Sg|Past|Ind	12	neb	_	_
22	,	,	$	$,	_	0	root	_	_
23	und	und	K	KON	_	21	kon	_	_
24	da	da	K	KOUS	_	27	konj	_	_
25	ich	ich	P	PPER	1|Sg|_|Nom	27	subj	738	738
26	es	es	P	PPER	3|Sg|Neut|_	27	obja	_	_
27	verneinte	verneinen	V	VVFIN	1|Sg|Past|_	23	cj	_	_
28	:	\:	$	$.	_	0	root	_	_
29	»	»	$	$(	_	0	root	_	_
30	So	so	A	ADV	_	31	adv	_	_
31	bleib	bleiben	V	VVIMP	Sg	0	root	_	_
32	Er	er	P	PPER	3|Sg|Masc|Nom	31	pred	579	579
33	!	!	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	10	10
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	_
3	noch	noch	A	ADV	_	2	adv	_	_
4	jung	jung	A	ADJD	Pos|	2	pred	_	_
5	!	!	$	$.	_	0	root	_	_

1	Machen	machen	V	VVFIN	1|Pl|Pres|_	12	neb	_	_
2	wir	wir	P	PPER	1|Pl|_|Nom	1	subj	803	803
