9	Zeiten	Zeit	N	NN	Fem|_|Pl	7	pn	471	471
10	!	!	$	$.	_	0	root	_	_
11	«	«	$	$(	_	0	root	_	_
12	Dann	dann	A	ADV	_	13	adv	_	_
13	aber	aber	A	ADV	_	14	adv	_	_
14	trieb	treiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
15	sie	sie	P	PPER	3|Sg|Fem|Nom	14	subj	218	218
16	zu	zu	P	APPR	Dat	14	pp	_	_
17	rascher	rasch	A	ADJA	Pos|Fem|Dat|Sg|St|	18	attr	_	_
18	Rückkehr	Rückkehr	N	NN	Fem|Dat|Sg	16	pn	_	_
19	in	in	P	APPR	Acc	18	pp	_	_
20	das	die	A	ART	Def|Neut|Acc|Sg	21	det	470	470
21	Haus	Haus	N	NN	Neut|Acc|Sg	19	pn	470	470
22	,	,	$	$,	_	0	root	_	_
23	denn	denn	K	KON	_	14	kon	_	_
24	ein	eine	A	ART	Indef|Masc|Nom|Sg	25	det	849	849
25	Abendwind	Abendwind	N	NN	Masc|Nom|Sg	26	subj	849	849
26	hob	heben	V	VVFIN	3|Sg|Past|Ind	23	cj	_	_
27	sich	sie	P	PRF	3|_|_	26	obja	_	_
28	und	und	K	KON	_	26	kon	_	_
29	rauschte	rauschen	V	VVFIN	_|Sg|Past|_	28	cj	_	_
30	durch	durch	P	APPR	Acc	29	pp	_	_
31	die	die	A	ART	Def|Masc|Acc|Pl	32	det	_	_
32	Wipfel	Wipfel	N	NN	Masc|Acc|Pl	30	pn	_	_
33	der	die	A	ART	Def|Masc|Gen|Pl	34	det	323	323
34	Bäume	Baum	N	NN	Masc|Gen|Pl	32	gmod	323	323
35	.	.	$	$.	_	0	root	_	_

1	Dagmar	Dagmar	N	NE	_|Nom|Sg	2	subj	163	163
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	mit	mit	P	APPR	Dat	20	pp	_	_
4	unhörbaren	unhörbar	A	ADJA	Pos|Masc|Dat|Pl|_|	5	attr	_	_
5	Schritten	Schritt	N	NN	Masc|Dat|Pl	3	pn	_	_
6	,	,	$	$,	_	0	root	_	_
7	da	da	K	KOUS	_	11	konj	_	_
8	sie	sie	P	PPER	3|Pl|_|Nom	11	subj	471	471
9	dem	die	A	ART	Def|Neut|Dat|Sg	10	det	472	472
10	Gelaß	Gelaß	N	NN	Neut|Dat|Sg	11	objd	472	472
11	vorbeikamen	vorbeikommen	V	VVFIN	3|Pl|Past|Ind	21	neb	_	_
12	,	,	$	$,	_	0	root	_	_
13	worin	worin	P	PWAV	_	20	pp	_	_
14	sie	sie	P	PPER	3|Sg|Fem|Nom	21	subj	163	163
15	Heudan	Heudan	N	NN	Masc|_|_	20	obja	_	_
16	,	,	$	$,	_	0	root	_	_
17	die	die	A	ART	Def|_|_|_	18	det	_	_
18	Dogge	Dogge	N	NN	_|_|_	15	app	_	_
19	,	,	$	$,	_	0	root	_	_
20	eingesperrt	einsperren	V	VVPP	_	21	aux	_	_
21	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
22	.	.	$	$.	_	0	root	_	_

1	»	»	$	$(	_	0	root	_	_
2	Morgen	Morgen	N	NN	_|Nom|_	8	vok	_	_
3	,	,	$	$,	_	0	root	_	_
4	mein	meine	A	PPOSAT	Masc|Nom|Sg	5	det	473	473
5	Hund	Hund	N	NN	Masc|Nom|Sg	2	app	_	_
6	«	«	$	$(	_	0	root	_	_
7	,	,	$	$,	_	0	root	_	_
8	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
9	sie	sie	P	PPER	3|Sg|Fem|Nom	8	subj	163	163
10	leise	leise	A	ADJD	Pos|	8	adv	_	_
11	gegen	gegen	P	APPR	Acc	8	objp	_	_
12	die	die	A	ART	Def|Fem|Acc|Sg	14	det	_	_
13	verriegelte	verriegelt	A	ADJA	Pos|Fem|Acc|Sg|_|	14	attr	_	_
14	Tür	Tür	N	NN	Fem|Acc|Sg	11	pn	_	_
15	;	;	$	$.	_	0	root	_	_
16	»	»	$	$(	_	0	root	_	_
17	ich	ich	P	PPER	1|Sg|_|Nom	18	subj	473	473
18	hol	hol	V	VVFIN	1|Sg|_|_	0	root	_	_
19	dich	du	P	PRF	2|Sg|Acc	18	obja	_	_
20	früh	früh	A	ADJD	Pos|	18	adv	_	_
21	!	!	$	$.	_	0	root	_	_
22	«	«	$	$(	_	0	root	_	_
23	Aber	aber	K	KON	_	0	root	_	_
24	der	die	A	ART	Def|Masc|Nom|Sg	25	det	345	345
25	Hund	Hund	N	NN	Masc|Nom|Sg	26	subj	345	345
26	schien	scheinen	V	VVFIN	3|Sg|Past|Ind	23	cj	_	_
27	zu	zu	P	PTKZU	_	28	part	_	_
28	schlafen	schlafen	V	VVINF	_	26	obji	_	_
29	;	;	$	$.	_	0	root	_	_
30	es	es	P	PPER	3|Sg|Neut|Nom	31	subj	_	_
31	blieb	bleiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
32	alles	alle	P	PIS	_|_|Sg	31	adv	_	_
33	still	still	A	ADJD	Pos|	31	pred	_	_
34	.	.	$	$.	_	0	root	_	_

1	Und	und	K	KON	_	0	root	_	_
2	bald	bald	A	ADV	_	3	adv	_	_
3	lag	liegen	V	VVFIN	3|Sg|Past|Ind	1	cj	_	_
4	sie	sie	P	PPER	3|Sg|Fem|Nom	3	subj	163	163
5	in	in	P	APPR	Dat	3	objp	_	_
6	dem	die	A	ART	Def|Neut|Dat|Sg	8	det	_	_
7	schmalen	schmal	A	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	_	_
8	Bettchen	Bettchen	N	NN	Neut|Dat|Sg	5	pn	_	_
9	in	in	P	APPR	Dat	8	pp	_	_
10	der	die	A	ART	Def|Fem|Dat|Sg	11	det	701	701
11	Kemenate	Kemenate	N	NN	Fem|Dat|Sg	9	pn	701	701
