13	erwartet	erwarten	V	VVPP	_	14	aux	_	_
14	hatten	haben	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
15	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|_|Nom|Pl	2	det	8	8
2	Roten	Rota	N	NN	_|Nom|Pl	3	subj	8	8
3	sprachen	sprechen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
4	mit	mit	P	APPR	Dat	3	pp	_	_
5	den	die	A	ART	Def|_|Dat|Pl	6	det	72	72
6	Weißen	Weiße	N	NN	_|Dat|Pl	4	pn	72	72
7	,	,	$	$,	_	0	root	_	_
8	und	und	K	KON	_	4	kon	_	_
9	zwar	zwar	A	ADV	_	8	cj	_	_
10	in	in	P	APPR	Dat	3	pp	_	_
11	dem	die	A	ART	Def|Neut|Dat|Sg	13	det	_	_
12	sprachlichen	sprachlich	A	ADJA	Pos|Neut|Dat|Sg|Wk|	13	attr	_	_
13	Gemisch	Gemisch	N	NN	Neut|Dat|Sg	10	pn	_	_
14	,	,	$	$,	_	0	root	_	_
15	dessen	die	A	PRELAT	_	0	root	_	_
16	man	man	P	PIS	_|Nom|Sg	27	subj	_	_
17	sich	sie	P	PRF	3|_|_	27	obja	_	_
18	in	in	P	APPR	Dat	27	pp	_	_
19	jenen	jene	A	PDAT	Fem|Dat|Pl	20	det	_	_
20	Gegenden	Gegend	N	NN	Fem|Dat|Pl	18	pn	_	_
21	zwischen	zwischen	P	APPR	Dat	20	pp	_	_
22	den	die	A	ART	Def|_|Dat|Pl	24	det	_	_
23	beiden	beide	A	PIDAT	_|Dat|Pl	24	attr	_	_
24	Rassen	Rasse	N	NN	_|Dat|Pl	21	pn	_	_
25	zu	zu	P	PTKZU	_	26	part	_	_
26	bedienen	bedienen	V	VVINF	_	27	obji	_	_
27	pflegt	pflegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	_
28	.	.	$	$.	_	0	root	_	_

1	Nicht	nicht	P	PTKNEG	_	7	adv	_	_
2	nur	nur	A	ADV	_	7	adv	_	_
3	um	um	P	APPR	Acc	7	pp	_	_
4	das	die	A	ART	Def|Neut|Acc|Sg	5	det	421	421
5	Gespräch	Gespräch	N	NN	Neut|Acc|Sg	3	pn	421	421
6	zu	zu	P	PTKZU	_	7	part	_	_
7	hören	hören	V	VVINF	_	17	obji	_	_
8	,	,	$	$,	_	0	root	_	_
9	sondern	sondern	K	KON	_	7	kon	_	_
10	hauptsächlich	hauptsächlich	A	ADJD	Pos|	15	adv	_	_
11	um	um	P	APPR	Acc	15	pp	_	_
12	die	die	A	ART	Def|_|Acc|Pl	13	det	72	72
13	Weißen	Weiße	N	NN	_|Acc|Pl	11	pn	72	72
14	zu	zu	P	PTKZU	_	15	part	_	_
15	befreien	befreien	V	VVINF	_	9	cj	_	_
16	,	,	$	$,	_	0	root	_	_
17	mußten	müssen	V	VMFIN	1|Pl|Past|Ind	0	root	_	_
18	wir	wir	P	PPER	1|Pl|_|Nom	17	subj	109	109
19	auf	auf	P	APPR	Acc	17	pp	_	_
20	die	die	A	ART	Def|Fem|Acc|Sg	22	det	_	_
21	andere	andere	A	ADJA	_|Fem|Acc|Sg|_	22	attr	_	_
22	Seite	Seite	N	NN	Fem|Acc|Sg	19	pn	_	_
23	hinüber	hinüber	P	PTKVZ	_	17	avz	_	_
24	.	.	$	$.	_	0	root	_	_

1	Wir	wir	P	PPER	1|Pl|_|Nom	2	subj	109	109
2	krochen	kriechen	V	VVFIN	1|Pl|Past|Ind	0	root	_	_
3	also	also	A	ADV	_	2	adv	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	einem	eine	A	ART	Indef|Masc|Dat|Sg	6	det	_	_
6	Halbkreise	Halbkreis	N	NN	Masc|Dat|Sg	4	pn	_	_
7	um	um	P	APPR	Acc	2	pp	_	_
8	die	die	A	ART	Def|Fem|Acc|Sg	9	det	111	111
9	Lichtung	Lichtung	N	NN	Fem|Acc|Sg	7	pn	111	111
10	und	und	K	KON	_	2	kon	_	_
11	kamen	kommen	V	VVFIN	_|Pl|Past|Ind	10	cj	_	_
12	dann	dann	A	ADV	_	11	adv	_	_
13	so	so	A	ADV	_	14	adv	_	_
14	nahe	nahe	A	ADJD	_	11	pred	_	_
15	an	an	P	APPR	Acc	19	pp	_	_
16	die	die	A	ART	Def|Fem|Acc|Sg	17	det	_	_
17	Gruppe	Gruppe	N	NN	Fem|Acc|Sg	15	pn	_	_
18	zu	zu	P	PTKZU	_	19	part	_	_
19	liegen	liegen	V	VVINF	_	11	obji	_	_
20	,	,	$	$,	_	0	root	_	_
21	daß	daß	K	KOUS	_	27	konj	_	_
22	wir	wir	P	PPER	1|Pl|_|Nom	27	subj	109	109
23	die	die	A	ART	Def|Neut|_|Pl	24	det	214	214
24	Worte	Wort	N	NN	Neut|_|Pl	27	obja	214	214
25	nicht	nicht	P	PTKNEG	_	27	adv	_	_
26	nur	nur	A	ADV	_	27	adv	_	_
27	hören	hören	V	VVFIN	1|Pl|Pres|_	19	objc	_	_
28	,	,	$	$,	_	0	root	_	_
29	sondern	sondern	K	KON	_	27	kon	_	_
30	auch	auch	A	ADV	_	29	cj	_	_
31	verstehen	verstehen	V	VVINF	_	32	aux	_	_
32	konnten	können	V	VMFIN	_|Pl|Past|Ind	29	cj	_	_
33	.	.	$	$.	_	0	root	_	_

1	Wie	Wie	P	PWAV	_	3	adv	_	_
2	zu	zu	P	PTKZU	_	3	part	_	_
3	erwarten	erwarten	V	VVINF	_	4	aux	_	_
4	gewesen	sein	V	VAPP	_	5	aux	_	_
5	war	sein	V	VAFIN	_|Sg|Past|Ind	0	root	_	_
6	,	,	$	$,	_	0	root	_	_
7	befand	befinden	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
8	sich	sie	P	PRF	3|_|_	7	obja	_	_
9	kein	keine	A	PIAT	Masc|Nom|Sg	10	det	115	115
10	Häuptling	Häuptling	N	NN	Masc|Nom|Sg	7	subj	115	115
11	,	,	$	$,	_	0	root	115	115
12	ja	ja	A	ADV	_	18	adv	115	115
13	nicht	nicht	P	PTKNEG	_	18	adv	115	115
14	einmal	einmal	A	ADV	_	13	adv	115	115
15	ein	eine	A	ART	Indef|Masc|Nom|Sg	18	det	115	115
16	einigermaßen	einigermaßen	A	ADV	_	17	adv	115	115
17	hervorragender	hervorragend	A	ADJA	Pos|Masc|Nom|Sg|St|_	18	attr	115	115
18	Krieger	Krieger	N	NN	Masc|Nom|Sg	10	kon	115	115
19	unter	unter	P	APPR	_	7	objp	_	_
20	den	die	A	ART	Def|_|_|_	21	det	112	112
21	Roten	Rota	N	NN	_|Dat|Pl	19	pn	112	112
22	,	,	$	$,	_	0	root	112	112
23	von	von	P	APPR	Dat	28	pp	112	112
24	denen	die	P	PRELS	_|Dat|Pl	23	pn	112	112
25	keiner	keine	P	PIS	Masc|Nom|Sg	28	subj	_	_
26	eine	eine	A	ART	Indef|Fem|_|Sg	27	det	_	_
27	Flinte	Flinte	N	NN	Fem|_|Sg	28	obja	_	_
28	besaß	besitzen	V	VVFIN	3|Sg|Past|Ind	21	rel	_	_
29	.	.	$	$.	_	0	root	_	_

1	Die	die	A	ART	Def|Neut|_|Pl	2	det	_	_
2	Pferde	Pferd	N	NN	Neut|_|Pl	0	root	_	_
3	,	,	$	$,	_	0	root	_	_
4	auch	auch	A	ADV	_	5	adv	_	_
5	diejenigen	diejenige	P	PDS	_|_|Pl	2	kon	_	_
6	der	die	A	ART	Def|_|Gen|_	7	det	113	113
7	Gefangenen	Gefangene	N	NN	_|Gen|_	5	gmod	113	113
8	,	,	$	$,	_	0	root	_	_
9	waren	sein	V	VAFIN	_|Pl|Past|Ind	0	root	_	_
10	rundum	rundum	A	ADV	_	11	adv	_	_
11	angebunden	anbinden	V	VVPP	_	9	aux	_	_
12	und	und	K	KON	_	9	kon	_	_
13	fraßen	fressen	V	VVFIN	_|Pl|Past|Ind	12	cj	_	_
14	die	die	A	ART	Def|Neut|_|Pl	15	det	_	_
15	Blätter	Blatt	N	NN	Neut|_|Pl	13	obja	_	_
16	und	und	K	KON	_	15	kon	_	_
17	jungen	jung	A	ADJA	Pos|Masc|_|Pl|Wk|	18	attr	_	_
18	Zweige	Zweig	N	NN	Masc|_|Pl	16	cj	_	_
19	ab	ab	P	PTKVZ	_	13	avz	_	_
20	.	.	$	$.	_	0	root	_	_

1	Zwei	zwei	C	CARD	_	4	subj	_	_
2	der	die	A	ART	Def|Masc|Gen|Pl	3	det	114	114
3	Indianer	Indianer	N	NN	Masc|Gen|Pl	1	gmod	114	114
4	saßen	sitzen	V	VVFIN	3|Pl|Past|Ind	0	root	_	_
5	auf	auf	P	APPR	Dat	4	pp	_	_
6	den	die	A	ART	Def|Neut|Dat|Pl	9	det	_	_
7	frischüberzogenen	frischüberzogen	A	ADJA	Pos|Neut|Dat|Pl|_|	9	attr	_	_
8	weißen	weiß	A	ADJA	Pos|Neut|Dat|Pl|_|	9	attr	_	_
9	Kissen	Kissen	N	NN	Neut|Dat|Pl	5	pn	_	_
10	des	die	A	ART	Def|_|Gen|Sg	11	det	_	_
11	Rechtsgelehrten	Rechtsgelehrte	N	NN	_|Gen|Sg	9	gmod	_	_
12	und	und	K	KON	_	4	kon	_	_
13	ließen	lassen	V	VVFIN	_|Pl|Past|_	12	cj	_	_
14	sich	sie	P	PRF	3|_|Dat	13	objd	_	_
15	die	die	A	ART	Def|_|_|Pl	16	det	_	_
16	Delikatessen	Delikatesse	N	NN	_|_|Pl	13	obja	_	_
17	,	,	$	$,	_	0	root	_	_
18	welche	welche	P	PIS	_|_|_	0	root	_	_
19	dessen	die	A	PDAT	Fem|Nom|Sg	20	det	116	116
20	Frau	Frau	N	NN	Fem|Nom|Sg	24	subj	116	116
21	für	für	P	APPR	Acc	20	pp	116	116
22	ihn	er	P	PPER	3|Sg|Masc|Acc	21	pn	115	115
23	eingepackt	einpacken	V	VVPP	_	24	aux	_	_
24	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	_
25	,	,	$	$,	_	0	root	_	_
26	mit	mit	P	APPR	Dat	29	pp	_	_
27	sichtlichem	sichtlich	A	ADJA	Pos|Neut|Dat|Sg|St|	28	attr	_	_
28	Behagen	Behagen	N	NN	Neut|Dat|Sg	26	pn	_	_
29	schmecken	schmecken	V	VVINF	_	0	root	_	_
30	.	.	$	$.	_	0	root	_	_

1	Er	er	P	PPER	3|Sg|Masc|Nom	2	subj	115	115
2	nahm	nehmen	V	VVFIN	3|Sg|Past|Ind	0	root	_	_
3	sich	sie	P	PRF	3|_|_	2	obja	_	_
4	in	in	P	APPR	Dat	2	pp	_	_
5	seiner	seine	A	PPOSAT	Fem|Dat|Sg	6	det	115	115
6	Galauniform	Galauniform	N	NN	Fem|Dat|Sg	4	pn	_	_
7	ungemein	ungemein	A	ADV	_	8	adv	_	_
8	drollig	drollig	A	ADJD	Pos|	2	adv	_	_
9	aus	aus	P	PTKVZ	_	2	avz	_	_
10	;	;	$	$.	_	0	root	_	_
11	sie	sie	P	PPER	3|_|_|Nom	12	subj	116	116
12	paßte	paßte	V	VVFIN	3|_|_|_	0	root	_	_
13	auch	auch	A	ADV	_	12	adv	_	_
14	gar	gar	A	ADV	_	16	adv	_	_
15	zu	zu	P	PTKA	_	16	adv	_	_
16	wenig	wenig	P	PIS	_	12	obja	_	_
17	zu	zu	P	APPR	Dat	12	pp	_	_
18	der	die	A	ART	Def|Fem|Dat|Sg	19	det	117	117
19	Umgebung	Umgebung	N	NN	Fem|Dat|Sg	17	pn	117	117
20	,	,	$	$,	_	0	root	117	117
21	in	in	P	APPR	Dat	25	objp	117	117
22	welcher	welche	P	PRELS	Fem|Dat|Sg	21	pn	117	117
23	er	er	P	PPER	3|Sg|Masc|Nom	25	subj	115	115
24	sich	sie	P	PRF	3|_|_	25	obja	_	_
